observed,target
0.010610079575596816,0.01
0.017241379310344827,0.02
0.03580901856763926,0.03
0.04774535809018567,0.04
0.0649867374005305,0.05
0.07559681697612732,0.06
0.09018567639257294,0.07
0.10477453580901856,0.08
0.11803713527851459,0.09
0.1312997347480106,0.1
0.15251989389920426,0.11
0.17108753315649866,0.12
0.17771883289124668,0.13
0.1909814323607427,0.14
0.1976127320954907,0.15
0.20822281167108753,0.16
0.21485411140583555,0.17
0.23209549071618038,0.18
0.23872679045092837,0.19
0.25596816976127323,0.2
0.2692307692307692,0.21
0.28779840848806365,0.22
0.3050397877984085,0.23
0.3222811671087533,0.24
0.33421750663129973,0.25
0.3541114058355438,0.26
0.3673740053050398,0.27
0.3726790450928382,0.28
0.3806366047745358,0.29
0.383289124668435,0.3
0.3912466843501326,0.31
0.40583554376657827,0.32
0.4124668435013263,0.33
0.41909814323607425,0.34
0.43103448275862066,0.35
0.4403183023872679,0.36
0.4482758620689655,0.37
0.4562334217506631,0.38
0.46419098143236076,0.39
0.4708222811671088,0.4
0.4854111405835544,0.41
0.4973474801061008,0.42
0.5,0.43
0.5039787798408488,0.44
0.5106100795755968,0.45
0.5145888594164456,0.46
0.5251989389920424,0.47
0.5318302387267905,0.48
0.5371352785145889,0.49
0.5490716180371353,0.5
0.5583554376657824,0.51
0.5716180371352785,0.52
0.5782493368700266,0.53
0.583554376657825,0.54
0.5941644562334217,0.55
0.5994694960212201,0.56
0.6127320954907162,0.57
0.6206896551724138,0.58
0.629973474801061,0.59
0.6352785145888594,0.6
0.6445623342175066,0.61
0.6551724137931034,0.62
0.6618037135278515,0.63
0.6684350132625995,0.64
0.6763925729442971,0.65
0.6830238726790451,0.66
0.6923076923076923,0.67
0.7015915119363395,0.68
0.7082228116710876,0.69
0.7175066312997348,0.7
0.7241379310344828,0.71
0.7281167108753316,0.72
0.7374005305039788,0.73
0.7480106100795756,0.74
0.7519893899204244,0.75
0.7612732095490716,0.76
0.7718832891246684,0.77
0.7811671087533156,0.78
0.7891246684350133,0.79
0.7931034482758621,0.8
0.7970822281167109,0.81
0.8050397877984085,0.82
0.8143236074270557,0.83
0.8196286472148541,0.84
0.8275862068965517,0.85
0.8328912466843501,0.86
0.843501326259947,0.87
0.8488063660477454,0.88
0.8607427055702918,0.89
0.8713527851458885,0.9
0.8819628647214854,0.91
0.8938992042440318,0.92
0.9005305039787799,0.93
0.9084880636604774,0.94
0.9297082228116711,0.95
0.9363395225464191,0.96
0.9429708222811671,0.97
0.9602122015915119,0.98
0.9694960212201591,0.99
1.0,1.0
