observed,target
0.005305039787798408,0.01
0.011936339522546418,0.02
0.026525198938992044,0.03
0.038461538461538464,0.04
0.05305039787798409,0.05
0.0623342175066313,0.06
0.07427055702917772,0.07
0.08620689655172414,0.08
0.09283819628647215,0.09
0.10610079575596817,0.1
0.1206896551724138,0.11
0.13793103448275862,0.12
0.15384615384615385,0.13
0.17108753315649866,0.14
0.1830238726790451,0.15
0.1870026525198939,0.16
0.1976127320954907,0.17
0.21352785145888595,0.18
0.22546419098143236,0.19
0.23607427055702918,0.2
0.2413793103448276,0.21
0.2572944297082228,0.22
0.27320954907161804,0.23
0.28249336870026526,0.24
0.29310344827586204,0.25
0.3103448275862069,0.26
0.3183023872679045,0.27
0.3395225464190981,0.28
0.356763925729443,0.29
0.3740053050397878,0.3
0.3819628647214854,0.31
0.3952254641909814,0.32
0.40318302387267907,0.33
0.40716180371352784,0.34
0.4124668435013263,0.35
0.42572944297082227,0.36
0.4350132625994695,0.37
0.4509283819628647,0.38
0.4588859416445623,0.39
0.46949602122015915,0.4
0.47877984084880637,0.41
0.4946949602122016,0.42
0.5,0.43
0.5026525198938993,0.44
0.5092838196286472,0.45
0.519893899204244,0.46
0.5265251989389921,0.47
0.5358090185676393,0.48
0.5450928381962865,0.49
0.5503978779840849,0.5
0.5636604774535809,0.51
0.5676392572944297,0.52
0.5782493368700266,0.53
0.5941644562334217,0.54
0.6007957559681698,0.55
0.6087533156498673,0.56
0.6153846153846154,0.57
0.6246684350132626,0.58
0.6352785145888594,0.59
0.6419098143236074,0.6
0.6485411140583555,0.61
0.6631299734748011,0.62
0.6724137931034483,0.63
0.6816976127320955,0.64
0.6923076923076923,0.65
0.6989389920424404,0.66
0.7029177718832891,0.67
0.7095490716180372,0.68
0.7122015915119363,0.69
0.7228116710875332,0.7
0.73342175066313,0.71
0.7374005305039788,0.72
0.7440318302387268,0.73
0.7519893899204244,0.74
0.7572944297082228,0.75
0.7625994694960212,0.76
0.7718832891246684,0.77
0.7798408488063661,0.78
0.786472148541114,0.79
0.7944297082228117,0.8
0.8010610079575596,0.81
0.8063660477453581,0.82
0.8196286472148541,0.83
0.8249336870026526,0.84
0.830238726790451,0.85
0.8368700265251989,0.86
0.8488063660477454,0.87
0.8594164456233422,0.88
0.8726790450928382,0.89
0.8925729442970822,0.9
0.8992042440318302,0.91
0.916445623342175,0.92
0.9217506631299734,0.93
0.9310344827586207,0.94
0.9363395225464191,0.95
0.9442970822281167,0.96
0.9562334217506632,0.97
0.9641909814323607,0.98
0.9734748010610079,0.99
0.9986737400530504,1.0
