network,rmse,mape,VaR_1_0,VaR_10_0,VaR_0_1,VaR_5_0
1,0.011106028702486205,1.281260908473026,0.002728512960436562,0.027285129604365622,0.001364256480218281,0.010914051841746248
2,0.011070094318223514,3.2275230350096034,0.010914051841746248,0.058663028649386086,0.002728512960436562,0.03547066848567531
3,0.011264185726522631,3.9242506953417333,0.02592087312414734,0.0927694406548431,0.0068212824010914054,0.06275579809004093
4,0.01125596479503417,3.652143066939753,0.02592087312414734,0.08867667121418826,0.005457025920873124,0.06002728512960437
