network,rmse,mape,VaR_1_0,VaR_10_0,VaR_0_1,VaR_5_0
1,0.014164486,0.93367475,0.036834924965893585,0.08867667121418826,0.01227830832196453,0.05593451568894952
7,0.014181959,0.9942169,0.034106412005457026,0.09140518417462483,0.01227830832196453,0.058663028649386086
5,0.01419975,0.997392,0.03547066848567531,0.09140518417462483,0.013642564802182811,0.058663028649386086
2,0.014421628,0.9121578,0.03547066848567531,0.08867667121418826,0.01227830832196453,0.061391541609822645
8,0.014972056,0.92816937,0.03547066848567531,0.0927694406548431,0.009549795361527967,0.06275579809004093
9,0.014179337,0.9854207,0.036834924965893585,0.09140518417462483,0.013642564802182811,0.058663028649386086
15,0.014203374,0.99933255,0.034106412005457026,0.09140518417462483,0.01227830832196453,0.058663028649386086
4,0.014757804,0.8715852,0.02455661664392906,0.0791268758526603,0.009549795361527967,0.05184174624829468
10,0.014112091,0.9251694,0.03547066848567531,0.08867667121418826,0.01227830832196453,0.058663028649386086
16,0.014122469,0.9407645,0.03547066848567531,0.08731241473396999,0.01227830832196453,0.0572987721691678
14,0.01410254,0.9664818,0.03547066848567531,0.09004092769440655,0.01227830832196453,0.058663028649386086
11,0.014171205,0.97720426,0.036834924965893585,0.09004092769440655,0.013642564802182811,0.058663028649386086
12,0.014118356,0.928644,0.03547066848567531,0.08867667121418826,0.01227830832196453,0.058663028649386086
