sd
0.10603484
0.101424694
0.10063353
0.10014453
0.12214324
0.10525759
0.1009116
0.10018215
0.13615024
0.11010742
0.10767827
0.10256019
0.10477593
0.1466014
0.112803355
0.10988212
0.10100925
0.118864015
0.103585936
0.10085061
0.10049194
0.1341994
0.10061973
0.11031936
0.100660354
0.100446634
0.11872273
0.10408536
0.101043954
0.10050741
0.13502567
0.10916838
0.100522056
0.10050293
0.10061769
0.13684429
0.11178675
0.0993575
0.10338755
0.14604971
0.11429309
0.10000339
0.10332577
0.118227586
0.104558714
0.10071501
0.100251585
0.1054355
