network,rmse,mape,VaR_1_0,VaR_10_0,VaR_0_1,VaR_5_0
1,0.011113768,1.1053988,0.005457025920873124,0.03137789904502047,0.002728512960436562,0.023192360163710776
2,0.011133637,4.32162,0.019099590723055934,0.061391541609822645,0.0068212824010914054,0.040927694406548434
3,0.011250312,3.9826643,0.02455661664392906,0.07366984993178717,0.01227830832196453,0.05320600272851296
4,0.011333442,3.595577,0.023192360163710776,0.07366984993178717,0.01227830832196453,0.05320600272851296
