network,rmse,mape,VaR_1_0,VaR_10_0,VaR_0_1,VaR_5_0
1,0.0141653,0.93519557,0.036834924965893585,0.08867667121418826,0.01227830832196453,0.05593451568894952
7,0.014182487,0.99557775,0.034106412005457026,0.09140518417462483,0.01227830832196453,0.058663028649386086
5,0.014199148,0.999663,0.036834924965893585,0.09140518417462483,0.013642564802182811,0.058663028649386086
2,0.014421077,0.9126316,0.03547066848567531,0.08867667121418826,0.01227830832196453,0.061391541609822645
8,0.014972631,0.92804503,0.03547066848567531,0.0927694406548431,0.009549795361527967,0.06275579809004093
3,0.014321593,0.9134728,0.034106412005457026,0.08867667121418826,0.010914051841746248,0.0572987721691678
9,0.014179389,0.98611397,0.036834924965893585,0.09140518417462483,0.013642564802182811,0.058663028649386086
6,0.014326714,0.927852,0.03547066848567531,0.08867667121418826,0.010914051841746248,0.061391541609822645
15,0.014202396,0.99821985,0.034106412005457026,0.09140518417462483,0.01227830832196453,0.058663028649386086
13,0.014202335,1.0001899,0.034106412005457026,0.09140518417462483,0.01227830832196453,0.058663028649386086
4,0.014758065,0.86995834,0.02455661664392906,0.0791268758526603,0.009549795361527967,0.05184174624829468
16,0.01412375,0.9412906,0.03547066848567531,0.08731241473396999,0.01227830832196453,0.0572987721691678
14,0.014102853,0.96946275,0.03547066848567531,0.09004092769440655,0.01227830832196453,0.058663028649386086
11,0.014170535,0.977094,0.036834924965893585,0.09004092769440655,0.01227830832196453,0.058663028649386086
12,0.014117974,0.93047965,0.03547066848567531,0.08867667121418826,0.01227830832196453,0.058663028649386086
