network,rmse,VaR_1_0,VaR_10_0,VaR_0_1,VaR_5_0
1,0.011108037,0.013642564802182811,0.047748976807639835,0.004092769440654843,0.030013642564802184
2,0.011110126,0.013642564802182811,0.047748976807639835,0.005457025920873124,0.030013642564802184
3,0.011201036,0.019099590723055934,0.058663028649386086,0.0068212824010914054,0.03819918144611187
4,0.011162357,0.02455661664392906,0.0723055934515689,0.013642564802182811,0.05320600272851296
