config,network,rmse,mape,VaR_1_0,VaR_10_0,VaR_0_1,VaR_5_0
225,1,0.014170959,0.9392991,0.036834924965893585,0.08867667121418826,0.013642564802182811,0.0572987721691678
673,1,0.014145669,0.92859846,0.036834924965893585,0.08867667121418826,0.01227830832196453,0.061391541609822645
433,1,0.014156579,0.9121985,0.03547066848567531,0.08867667121418826,0.01227830832196453,0.061391541609822645
81,1,0.014189407,0.9348864,0.036834924965893585,0.08867667121418826,0.01227830832196453,0.058663028649386086
1,1,0.014125054,0.9253698,0.036834924965893585,0.09004092769440655,0.013642564802182811,0.06002728512960437
135,7,0.014099,0.94550794,0.036834924965893585,0.09004092769440655,0.013642564802182811,0.061391541609822645
759,7,0.014206186,1.0078981,0.034106412005457026,0.09140518417462483,0.01227830832196453,0.058663028649386086
519,7,0.014141766,0.9815479,0.036834924965893585,0.09004092769440655,0.01227830832196453,0.06002728512960437
261,5,0.014077539,0.9877997,0.03547066848567531,0.09140518417462483,0.013642564802182811,0.061391541609822645
501,5,0.01420719,0.99897474,0.034106412005457026,0.09140518417462483,0.01227830832196453,0.058663028649386086
117,5,0.014202391,0.99316525,0.034106412005457026,0.09140518417462483,0.013642564802182811,0.058663028649386086
485,5,0.014207513,1.0019231,0.034106412005457026,0.09004092769440655,0.01227830832196453,0.058663028649386086
690,2,0.014435907,0.96993613,0.036834924965893585,0.09004092769440655,0.013642564802182811,0.058663028649386086
450,2,0.014465653,0.8826761,0.03547066848567531,0.08731241473396999,0.01637107776261937,0.06412005457025921
19,3,0.014384904,0.9188555,0.03547066848567531,0.08867667121418826,0.01227830832196453,0.06548431105047749
707,3,0.014155191,0.92828304,0.03547066848567531,0.09004092769440655,0.01227830832196453,0.06002728512960437
243,3,0.014341403,0.91910434,0.03274215552523874,0.08867667121418826,0.01227830832196453,0.061391541609822645
947,3,0.014278881,0.9176254,0.03274215552523874,0.08867667121418826,0.010914051841746248,0.05593451568894952
553,9,0.014200299,0.99029934,0.03547066848567531,0.09140518417462483,0.013642564802182811,0.058663028649386086
153,9,0.014182709,0.990286,0.03547066848567531,0.0927694406548431,0.013642564802182811,0.06002728512960437
313,9,0.014207974,0.98717964,0.03819918144611187,0.09549795361527967,0.017735334242837655,0.06821282401091405
297,9,0.014199402,0.98955876,0.040927694406548434,0.09686221009549795,0.017735334242837655,0.06821282401091405
793,9,0.014205488,0.99827397,0.034106412005457026,0.09004092769440655,0.013642564802182811,0.0572987721691678
536,8,0.015218053,0.9175101,0.03547066848567531,0.0941336971350614,0.013642564802182811,0.061391541609822645
776,8,0.015130649,0.91665494,0.036834924965893585,0.0927694406548431,0.01637107776261937,0.06412005457025921
639,15,0.014200148,0.99398875,0.03819918144611187,0.09686221009549795,0.017735334242837655,0.06957708049113233
207,15,0.014203454,1.00367,0.034106412005457026,0.09140518417462483,0.013642564802182811,0.058663028649386086
879,15,0.014203379,1.0015509,0.03547066848567531,0.09140518417462483,0.013642564802182811,0.058663028649386086
742,6,0.014391724,0.934249,0.036834924965893585,0.09004092769440655,0.010914051841746248,0.06548431105047749
621,13,0.014204787,1.0001196,0.03819918144611187,0.09549795361527967,0.019099590723055934,0.06957708049113233
226,2,0.014577804,0.86729175,0.03547066848567531,0.08731241473396999,0.015006821282401092,0.06275579809004093
861,13,0.01420275,1.0063946,0.034106412005457026,0.09140518417462483,0.015006821282401092,0.058663028649386086
674,2,0.014425117,0.9501192,0.03547066848567531,0.08867667121418826,0.015006821282401092,0.058663028649386086
434,2,0.014500587,0.91997206,0.03547066848567531,0.08867667121418826,0.013642564802182811,0.061391541609822645
93,13,0.01420557,1.0003791,0.034106412005457026,0.08867667121418826,0.013642564802182811,0.058663028649386086
365,13,0.0141943805,1.0024076,0.03547066848567531,0.09004092769440655,0.01227830832196453,0.058663028649386086
136,8,0.015006457,0.8776547,0.036834924965893585,0.09140518417462483,0.01637107776261937,0.06821282401091405
451,3,0.014504372,0.8917192,0.03547066848567531,0.08731241473396999,0.013642564802182811,0.06548431105047749
691,3,0.014428985,0.9237122,0.03274215552523874,0.08867667121418826,0.01227830832196453,0.06002728512960437
743,7,0.014206632,0.99086636,0.034106412005457026,0.08867667121418826,0.01227830832196453,0.058663028649386086
262,6,0.014256761,0.92697364,0.03547066848567531,0.08731241473396999,0.01227830832196453,0.054570259208731244
502,6,0.014332732,0.93185943,0.03547066848567531,0.08867667121418826,0.013642564802182811,0.06002728512960437
486,6,0.014328748,0.94144905,0.036834924965893585,0.08867667121418826,0.01227830832196453,0.061391541609822645
118,6,0.014300333,0.9148582,0.034106412005457026,0.08867667121418826,0.010914051841746248,0.06002728512960437
930,2,0.014325489,0.97572833,0.03274215552523874,0.08731241473396999,0.01227830832196453,0.06002728512960437
537,9,0.014187771,0.98809737,0.036834924965893585,0.09140518417462483,0.01227830832196453,0.058663028649386086
88,8,0.015087459,0.9081196,0.03819918144611187,0.0941336971350614,0.019099590723055934,0.06684856753069578
777,9,0.014206451,0.99390155,0.034106412005457026,0.08867667121418826,0.01227830832196453,0.058663028649386086
227,3,0.014394331,0.91588664,0.03547066848567531,0.08867667121418826,0.013642564802182811,0.06412005457025921
435,3,0.014428294,0.89795107,0.03547066848567531,0.08594815825375171,0.01227830832196453,0.06002728512960437
675,3,0.014517414,0.90305495,0.034106412005457026,0.08867667121418826,0.013642564802182811,0.06412005457025921
263,7,0.013984239,0.9316907,0.034106412005457026,0.08867667121418826,0.010914051841746248,0.0572987721691678
503,7,0.014208465,1.0029486,0.03274215552523874,0.09140518417462483,0.013642564802182811,0.058663028649386086
487,7,0.0142084295,0.99943686,0.034106412005457026,0.09140518417462483,0.013642564802182811,0.058663028649386086
119,7,0.014204498,0.99277526,0.036834924965893585,0.09140518417462483,0.013642564802182811,0.058663028649386086
137,9,0.014118395,0.9425772,0.03547066848567531,0.08731241473396999,0.01227830832196453,0.058663028649386086
744,8,0.015060024,0.92171353,0.034106412005457026,0.0927694406548431,0.01227830832196453,0.06412005457025921
931,3,0.014240432,0.91519135,0.034106412005457026,0.08731241473396999,0.01227830832196453,0.05593451568894952
264,8,0.014611215,0.8628853,0.03547066848567531,0.08731241473396999,0.01227830832196453,0.06002728512960437
504,8,0.015118756,0.91788214,0.036834924965893585,0.0927694406548431,0.01227830832196453,0.061391541609822645
488,8,0.015131091,0.93802977,0.036834924965893585,0.0927694406548431,0.015006821282401092,0.061391541609822645
745,9,0.014199171,0.99614453,0.034106412005457026,0.09004092769440655,0.013642564802182811,0.058663028649386086
265,9,0.0140863415,0.9308308,0.03547066848567531,0.09004092769440655,0.01227830832196453,0.06548431105047749
505,9,0.01420552,1.0138878,0.034106412005457026,0.09140518417462483,0.013642564802182811,0.058663028649386086
489,9,0.014204732,0.9945576,0.036834924965893585,0.09140518417462483,0.01227830832196453,0.058663028649386086
49,1,0.014138777,0.9242793,0.036834924965893585,0.08867667121418826,0.01227830832196453,0.061391541609822645
4,4,0.029951297,0.31211644,0.036834924965893585,0.08867667121418826,0.013642564802182811,0.06548431105047749
468,4,0.014554037,0.9113033,0.03547066848567531,0.08731241473396999,0.01227830832196453,0.06002728512960437
724,4,0.014709683,0.94247717,0.03547066848567531,0.08731241473396999,0.010914051841746248,0.058663028649386086
469,5,0.014203279,1.0011642,0.034106412005457026,0.09140518417462483,0.013642564802182811,0.058663028649386086
725,5,0.01420401,1.007623,0.03547066848567531,0.09140518417462483,0.013642564802182811,0.058663028649386086
40,8,0.015284635,0.94778395,0.036834924965893585,0.09549795361527967,0.013642564802182811,0.06412005457025921
726,6,0.014393379,0.93197346,0.036834924965893585,0.09004092769440655,0.015006821282401092,0.06412005457025921
47,15,0.014206639,1.0065633,0.03547066848567531,0.09140518417462483,0.01227830832196453,0.058663028649386086
727,7,0.014206402,1.0062826,0.034106412005457026,0.09004092769440655,0.01227830832196453,0.058663028649386086
948,4,0.014403332,0.9567265,0.010914051841746248,0.05593451568894952,0.005457025920873124,0.03819918144611187
52,4,0.014822908,0.8975467,0.03274215552523874,0.08594815825375171,0.010914051841746248,0.0572987721691678
708,4,0.014791186,0.918465,0.03547066848567531,0.08867667121418826,0.01227830832196453,0.061391541609822645
470,6,0.014327922,0.90644336,0.036834924965893585,0.09004092769440655,0.01227830832196453,0.06412005457025921
728,8,0.01518435,0.91985035,0.036834924965893585,0.09686221009549795,0.015006821282401092,0.06412005457025921
330,10,0.014122878,0.92029893,0.03547066848567531,0.08867667121418826,0.01227830832196453,0.061391541609822645
570,10,0.0141181545,0.93438935,0.03547066848567531,0.08867667121418826,0.01227830832196453,0.06002728512960437
656,16,0.014128167,0.9585179,0.036834924965893585,0.08867667121418826,0.013642564802182811,0.058663028649386086
912,16,0.0141453,0.9577838,0.034106412005457026,0.08731241473396999,0.01227830832196453,0.05593451568894952
896,16,0.014122323,0.94054574,0.034106412005457026,0.08867667121418826,0.01227830832196453,0.054570259208731244
949,5,0.014204285,1.0092078,0.03819918144611187,0.09686221009549795,0.017735334242837655,0.07094133697135062
709,5,0.014206867,0.99442774,0.03547066848567531,0.08867667121418826,0.013642564802182811,0.058663028649386086
244,4,0.014495583,0.9013316,0.030013642564802184,0.0791268758526603,0.010914051841746248,0.05320600272851296
471,7,0.014200409,0.9906842,0.034106412005457026,0.09140518417462483,0.013642564802182811,0.058663028649386086
416,16,0.014120764,0.935907,0.034106412005457026,0.08731241473396999,0.01227830832196453,0.0572987721691678
676,4,0.015094222,0.92591923,0.019099590723055934,0.06684856753069578,0.010914051841746248,0.045020463847203276
382,14,0.014105292,0.9784019,0.036834924965893585,0.09004092769440655,0.01227830832196453,0.06002728512960437
520,8,0.015323701,0.93482196,0.03547066848567531,0.09686221009549795,0.015006821282401092,0.06275579809004093
657,1,0.014142699,0.9559484,0.036834924965893585,0.08867667121418826,0.01227830832196453,0.058663028649386086
913,1,0.014188709,0.9875681,0.036834924965893585,0.09549795361527967,0.015006821282401092,0.06684856753069578
897,1,0.014178814,0.9840889,0.03547066848567531,0.09140518417462483,0.013642564802182811,0.061391541609822645
692,4,0.017346805,0.95420665,0.01637107776261937,0.06275579809004093,0.010914051841746248,0.040927694406548434
436,4,0.0146396365,0.95677876,0.02455661664392906,0.07366984993178717,0.010914051841746248,0.047748976807639835
228,4,0.014860981,0.7195069,0.03547066848567531,0.08731241473396999,0.010914051841746248,0.061391541609822645
417,1,0.014162718,0.90596473,0.036834924965893585,0.09004092769440655,0.01227830832196453,0.06002728512960437
71,7,0.01413588,0.9804501,0.036834924965893585,0.09004092769440655,0.01227830832196453,0.058663028649386086
452,4,0.014724091,0.9554944,0.03547066848567531,0.09140518417462483,0.013642564802182811,0.061391541609822645
245,5,0.014197377,0.9906961,0.036834924965893585,0.09140518417462483,0.013642564802182811,0.058663028649386086
729,9,0.014204956,1.0033333,0.034106412005457026,0.09140518417462483,0.01227830832196453,0.058663028649386086
932,4,0.014388899,0.94466376,0.010914051841746248,0.0572987721691678,0.005457025920873124,0.03819918144611187
677,5,0.014204844,0.99695915,0.03547066848567531,0.09140518417462483,0.013642564802182811,0.058663028649386086
827,11,0.014203428,0.9999283,0.034106412005457026,0.09004092769440655,0.013642564802182811,0.058663028649386086
810,10,0.014118226,0.92052823,0.03547066848567531,0.08731241473396999,0.01227830832196453,0.058663028649386086
10,10,0.0140907075,0.93033284,0.03547066848567531,0.08867667121418826,0.01227830832196453,0.06002728512960437
658,2,0.014443458,0.9072459,0.03547066848567531,0.08731241473396999,0.01227830832196453,0.061391541609822645
171,11,0.014172497,0.98484945,0.036834924965893585,0.09004092769440655,0.013642564802182811,0.06002728512960437
914,2,0.014180988,1.0098326,0.03274215552523874,0.08867667121418826,0.01227830832196453,0.05593451568894952
472,8,0.015226937,0.9331999,0.03819918144611187,0.0927694406548431,0.01637107776261937,0.06412005457025921
898,2,0.014174672,0.90354204,0.03137789904502047,0.08594815825375171,0.010914051841746248,0.054570259208731244
95,15,0.014208248,1.001199,0.03547066848567531,0.09140518417462483,0.013642564802182811,0.058663028649386086
693,5,0.014202908,1.0077523,0.034106412005457026,0.08867667121418826,0.013642564802182811,0.058663028649386086
437,5,0.014204522,1.004865,0.03547066848567531,0.09140518417462483,0.013642564802182811,0.058663028649386086
229,5,0.014191128,0.9933575,0.03547066848567531,0.09140518417462483,0.01227830832196453,0.058663028649386086
418,2,0.014466571,0.9241518,0.03819918144611187,0.09004092769440655,0.01637107776261937,0.061391541609822645
521,9,0.014186028,0.986656,0.036834924965893585,0.09140518417462483,0.013642564802182811,0.058663028649386086
383,15,0.014207425,0.9932473,0.034106412005457026,0.09140518417462483,0.01227830832196453,0.058663028649386086
453,5,0.014200052,0.99171185,0.03547066848567531,0.09004092769440655,0.013642564802182811,0.058663028649386086
933,5,0.014203326,0.9959142,0.040927694406548434,0.09959072305593451,0.019099590723055934,0.07366984993178717
794,10,0.014110882,0.9219459,0.034106412005457026,0.08867667121418826,0.010914051841746248,0.06002728512960437
154,10,0.014109209,0.91929364,0.03547066848567531,0.08867667121418826,0.01227830832196453,0.06002728512960437
554,10,0.014118902,0.93348473,0.03547066848567531,0.09004092769440655,0.01227830832196453,0.061391541609822645
314,10,0.014129191,0.9523291,0.036834924965893585,0.0927694406548431,0.01637107776261937,0.0723055934515689
710,6,0.014326442,0.9310506,0.036834924965893585,0.09004092769440655,0.01227830832196453,0.06548431105047749
73,9,0.014113804,0.9207067,0.03547066848567531,0.08867667121418826,0.01227830832196453,0.058663028649386086
298,10,0.01412325,0.9240402,0.040927694406548434,0.09822646657571624,0.020463847203274217,0.07503410641200546
844,12,0.014109193,0.9308268,0.03547066848567531,0.08731241473396999,0.01227830832196453,0.06002728512960437
604,12,0.014221052,1.0129222,0.03956343792633015,0.09959072305593451,0.019099590723055934,0.07094133697135062
28,12,0.014128421,0.9212201,0.03547066848567531,0.08867667121418826,0.010914051841746248,0.058663028649386086
246,6,0.0142623,0.9224785,0.03547066848567531,0.09004092769440655,0.01227830832196453,0.06002728512960437
348,12,0.014139938,0.93116444,0.036834924965893585,0.08731241473396999,0.01227830832196453,0.058663028649386086
588,12,0.014260451,1.0347981,0.030013642564802184,0.08867667121418826,0.013642564802182811,0.058663028649386086
23,7,0.014194774,0.998105,0.03547066848567531,0.09140518417462483,0.013642564802182811,0.058663028649386086
659,3,0.01453832,0.9050258,0.036834924965893585,0.08867667121418826,0.01227830832196453,0.06684856753069578
678,6,0.014387806,0.91520804,0.036834924965893585,0.09004092769440655,0.013642564802182811,0.06275579809004093
208,16,0.014092662,0.9252835,0.03547066848567531,0.08867667121418826,0.013642564802182811,0.058663028649386086
915,3,0.014062962,0.95768,0.034106412005457026,0.0927694406548431,0.01227830832196453,0.058663028649386086
190,14,0.014104496,0.9762126,0.036834924965893585,0.09004092769440655,0.01227830832196453,0.061391541609822645
64,16,0.014124915,0.9308411,0.03547066848567531,0.08867667121418826,0.01227830832196453,0.058663028649386086
899,3,0.013973103,0.9380465,0.034106412005457026,0.09004092769440655,0.01227830832196453,0.058663028649386086
862,14,0.014103377,0.9709849,0.036834924965893585,0.09004092769440655,0.01227830832196453,0.06002728512960437
