network,rmse,mape,VaR_1_0,VaR_10_0,VaR_0_1,VaR_5_0
1,0.014164888,0.9350286,0.036834924965893585,0.08867667121418826,0.01227830832196453,0.05593451568894952
10,0.014112658,0.92574894,0.03547066848567531,0.08867667121418826,0.01227830832196453,0.058663028649386086
11,0.0141706085,0.9755711,0.036834924965893585,0.09004092769440655,0.01227830832196453,0.058663028649386086
12,0.014117708,0.9290321,0.03547066848567531,0.08867667121418826,0.01227830832196453,0.058663028649386086
13,0.01420289,0.99756956,0.034106412005457026,0.09140518417462483,0.01227830832196453,0.058663028649386086
14,0.014103759,0.968316,0.03547066848567531,0.09004092769440655,0.01227830832196453,0.058663028649386086
15,0.014202065,0.99838585,0.034106412005457026,0.09140518417462483,0.01227830832196453,0.058663028649386086
16,0.014122829,0.9411935,0.03547066848567531,0.08731241473396999,0.01227830832196453,0.0572987721691678
2,0.014421091,0.91333497,0.03547066848567531,0.08867667121418826,0.013642564802182811,0.061391541609822645
3,0.014322183,0.910099,0.034106412005457026,0.08867667121418826,0.010914051841746248,0.0572987721691678
4,0.014757699,0.8705493,0.02455661664392906,0.0791268758526603,0.009549795361527967,0.05184174624829468
5,0.014199264,0.99966586,0.03547066848567531,0.09140518417462483,0.013642564802182811,0.058663028649386086
6,0.014327585,0.9287248,0.036834924965893585,0.08867667121418826,0.010914051841746248,0.061391541609822645
7,0.014182807,0.9946851,0.034106412005457026,0.09140518417462483,0.01227830832196453,0.058663028649386086
8,0.014972568,0.92912763,0.03547066848567531,0.0927694406548431,0.009549795361527967,0.06275579809004093
9,0.014179383,0.9848516,0.036834924965893585,0.09140518417462483,0.01227830832196453,0.058663028649386086
