intercept,daily,monthly,weekly
0.22612858,0.3032656,0.22045676,0.50574964
0.22564086,0.3053492,0.22089839,0.5031198
0.22616048,0.30286884,0.21530032,0.51085496
0.22643547,0.3002213,0.21830049,0.5109376
0.22780529,0.3054663,0.21295556,0.51053894
0.24108091,0.30508763,0.21013293,0.51474935
0.22781801,0.29992315,0.21180221,0.5174047
0.24279794,0.30935723,0.20842902,0.5121354
0.23528607,0.30123863,0.20806888,0.52020293
0.26039225,0.31794602,0.2035094,0.50942117
0.2337373,0.29594877,0.2064362,0.5269559
0.24906242,0.3106061,0.20601718,0.5137169
0.2550618,0.31150895,0.2024707,0.51655686
0.22916684,0.29388136,0.20889178,0.5264282
0.25884268,0.3181879,0.20420623,0.50843936
0.22489867,0.29140627,0.21264616,0.52505803
0.24561651,0.31253526,0.20725556,0.51025695
0.24577276,0.3073048,0.20565625,0.51712304
0.2559393,0.3145004,0.20386703,0.51225686
0.23232456,0.29787517,0.20806754,0.5233941
0.22986428,0.30232587,0.21288724,0.51419646
0.24159484,0.30919477,0.20814876,0.51254267
0.22968087,0.30196413,0.21234736,0.51503885
0.2545362,0.31994462,0.20755605,0.50309354
0.22832617,0.2994288,0.2124739,0.5174039
0.22699797,0.30493227,0.21909878,0.5055163
0.23129845,0.3075467,0.21263285,0.509164
0.23220089,0.30583304,0.21451478,0.50929046
0.23384146,0.3096702,0.21326616,0.5065969
0.2326004,0.3065934,0.2144393,0.5085957
0.22657712,0.30379665,0.21881402,0.5069311
0.23587184,0.31087002,0.21163884,0.5070666
0.24046302,0.3096853,0.21168861,0.508667
0.22698179,0.30418628,0.21705858,0.5081745
0.23238166,0.30803034,0.21389711,0.50761193
0.23651722,0.30786985,0.21232167,0.50962746
0.23219952,0.30664054,0.21365622,0.5092664
0.22771916,0.30523038,0.21821813,0.50610507
0.22894633,0.30666476,0.21582761,0.5069391
0.23329775,0.30816936,0.21453658,0.50696963
0.22751383,0.30546266,0.21834476,0.50572664
0.22726795,0.3075336,0.22281861,0.49941668
0.22786751,0.30886692,0.21606044,0.50430816
0.22844529,0.3066861,0.22030762,0.50271165
