intercept,daily,monthly,weekly
-1.265558,0.4273625,0.25812465,0.17330882
-1.2577655,0.43936953,0.25056982,0.16803852
-1.2960329,0.36989853,0.2965137,0.19984876
-1.27695,0.41052112,0.2686581,0.18110892
-1.3188773,0.35916916,0.29958826,0.21063158
-1.3414915,0.32583076,0.320506,0.22659115
-1.3325437,0.35804898,0.2970626,0.21465068
-1.3482859,0.32869977,0.31663007,0.22832647
-1.3566236,0.32751113,0.31557262,0.23141572
-1.3807214,0.29030913,0.33935246,0.24987979
-1.3724871,0.3118227,0.32422096,0.24101801
-1.3690357,0.324665,0.31489375,0.23658505
-1.3918155,0.2831847,0.34238186,0.25575823
-1.3637435,0.3464846,0.29883236,0.2287246
-1.3820289,0.3049999,0.32742745,0.24657467
-1.3430017,0.37599108,0.28033933,0.21341042
-1.3623476,0.3329249,0.30996484,0.23223934
-1.382766,0.29902413,0.33196205,0.24823248
-1.3938661,0.2869372,0.33890343,0.25528753
-1.3753611,0.3241572,0.31376407,0.23866399
-1.3530557,0.37656882,0.27753505,0.21692058
-1.3769475,0.327081,0.3111273,0.23878102
-1.3690392,0.35048395,0.2944076,0.22940154
-1.3967855,0.29874474,0.328862,0.25312442
-1.3855679,0.33160156,0.30544522,0.24013758
-1.344466,0.41970545,0.24533777,0.20196393
-1.3781939,0.3440885,0.29734653,0.23454535
-1.3804568,0.35143948,0.29095113,0.23312804
-1.3883265,0.33792278,0.2998116,0.23957543
-1.3863986,0.34330922,0.29598632,0.23736994
-1.3588265,0.4070901,0.25195512,0.21050584
-1.392509,0.33044142,0.3047772,0.24324891
-1.4023516,0.31708005,0.31301337,0.25013518
-1.3768641,0.37680453,0.271693,0.22500749
-1.3844391,0.35162088,0.28987947,0.23458242
-1.3988159,0.3306565,0.30310184,0.24532835
-1.3947389,0.3432482,0.2940789,0.24045973
-1.375366,0.38549465,0.26517004,0.2222167
-1.3830004,0.36563697,0.27911812,0.2303504
-1.3938583,0.34428388,0.29347044,0.23989372
-1.3782108,0.38277,0.2666607,0.22396569
