observed,target
0.007957559681697613,0.01
0.017241379310344827,0.02
0.034482758620689655,0.03
0.04774535809018567,0.04
0.0623342175066313,0.05
0.07427055702917772,0.06
0.07957559681697612,0.07
0.09416445623342175,0.08
0.11671087533156499,0.09
0.129973474801061,0.1
0.14323607427055704,0.11
0.15649867374005305,0.12
0.1724137931034483,0.13
0.1843501326259947,0.14
0.1989389920424403,0.15
0.20954907161803712,0.16
0.21618037135278514,0.17
0.22413793103448276,0.18
0.24005305039787797,0.19
0.2493368700265252,0.2
0.26525198938992045,0.21
0.28249336870026526,0.22
0.29442970822281167,0.23
0.3103448275862069,0.24
0.33421750663129973,0.25
0.34084880636604775,0.26
0.35145888594164454,0.27
0.3620689655172414,0.28
0.3779840848806366,0.29
0.38461538461538464,0.3
0.38992042440318303,0.31
0.40185676392572944,0.32
0.40848806366047746,0.33
0.4217506631299735,0.34
0.4297082228116711,0.35
0.4416445623342175,0.36
0.4496021220159151,0.37
0.45755968169761274,0.38
0.46286472148541113,0.39
0.46816976127320953,0.4
0.46949602122015915,0.41
0.4827586206896552,0.42
0.4880636604774536,0.43
0.4973474801061008,0.44
0.5079575596816976,0.45
0.519893899204244,0.46
0.5238726790450928,0.47
0.5291777188328912,0.48
0.5358090185676393,0.49
0.5464190981432361,0.5
0.5570291777188329,0.51
0.5623342175066313,0.52
0.5755968169761273,0.53
0.5809018567639257,0.54
0.5888594164456233,0.55
0.5941644562334217,0.56
0.6047745358090185,0.57
0.6140583554376657,0.58
0.6286472148541115,0.59
0.6339522546419099,0.6
0.6379310344827587,0.61
0.6432360742705571,0.62
0.6511936339522546,0.63
0.6671087533156499,0.64
0.6763925729442971,0.65
0.6856763925729443,0.66
0.6870026525198939,0.67
0.6936339522546419,0.68
0.7042440318302388,0.69
0.7095490716180372,0.7
0.7214854111405835,0.71
0.7320954907161804,0.72
0.7347480106100795,0.73
0.7427055702917772,0.74
0.7480106100795756,0.75
0.7572944297082228,0.76
0.7705570291777188,0.77
0.7785145888594165,0.78
0.7851458885941645,0.79
0.7877984084880637,0.8
0.7931034482758621,0.81
0.8010610079575596,0.82
0.8090185676392573,0.83
0.8116710875331565,0.84
0.8156498673740054,0.85
0.8275862068965517,0.86
0.843501326259947,0.87
0.8527851458885941,0.88
0.8660477453580901,0.89
0.876657824933687,0.9
0.8872679045092838,0.91
0.896551724137931,0.92
0.9084880636604774,0.93
0.916445623342175,0.94
0.9323607427055703,0.95
0.9416445623342176,0.96
0.9456233421750663,0.97
0.9615384615384616,0.98
0.9708222811671088,0.99
0.9986737400530504,1.0
