intercept,daily,monthly,weekly
-0.44778186,0.64202994,0.28092593,0.028261965
-0.443194,0.67449963,0.26290956,0.012386237
-0.45395446,0.64224714,0.30351594,0.010613313
-0.46802345,0.63357866,0.28554147,0.034957655
-0.49223408,0.59582275,0.30722106,0.054555196
-0.5256517,0.54229575,0.34983927,0.07188294
-0.56118864,0.51186925,0.32253465,0.12639779
-0.59379834,0.47259468,0.33439603,0.15592992
-0.62680835,0.43787146,0.33826151,0.18802728
-0.66427135,0.39802867,0.36879435,0.20279756
-0.68989116,0.37769136,0.35235527,0.23802081
-0.7057052,0.36382663,0.3286046,0.27250057
-0.731476,0.3321011,0.3624226,0.27580032
-0.72939336,0.33619684,0.31088117,0.3156411
-0.74322605,0.3115435,0.33298013,0.32108742
-0.7279959,0.32077497,0.27648324,0.359188
-0.7317432,0.30043966,0.29990846,0.35843194
-0.7443708,0.2719451,0.3528944,0.34113568
-0.75402415,0.25644386,0.37474474,0.3381661
-0.7490078,0.26170653,0.3427176,0.3601681
-0.72685134,0.28068554,0.27910072,0.3950796
-0.7261132,0.2596819,0.3222765,0.37790754
-0.71217346,0.25720453,0.32382086,0.37789905
-0.7035645,0.23591645,0.38717994,0.34330934
-0.6852938,0.23974112,0.37986135,0.3447084
-0.6420505,0.2795952,0.29499334,0.37642032
-0.6107718,0.26459628,0.36654449,0.32633942
-0.59032357,0.2550427,0.40627033,0.29938954
-0.57443225,0.24782583,0.4344573,0.28064913
-0.56003267,0.2452013,0.44594365,0.27206808
-0.53874743,0.27275246,0.38572484,0.29608235
-0.5310062,0.25015798,0.45730138,0.25493643
-0.5363663,0.22949295,0.5048677,0.23395085
-0.5309246,0.24691948,0.44330367,0.2702391
-0.5226679,0.2439318,0.45529923,0.26186848
-0.526113,0.22738147,0.49121633,0.24687251
-0.5291384,0.22410783,0.48508844,0.25556684
-0.513737,0.24412823,0.4380321,0.27606454
-0.49798593,0.2449759,0.45400175,0.260134
-0.49324664,0.23245391,0.49352002,0.23742363
-0.48191595,0.24661632,0.4635695,0.2489349
-0.45051473,0.29956096,0.4064981,0.24515097
-0.44048873,0.28276083,0.47845316,0.19845352
-0.43051857,0.28940874,0.47923684,0.1907819
-0.40701056,0.3318432,0.4395874,0.18286718
-0.3894525,0.36259457,0.44095817,0.151161
-0.39945343,0.33425227,0.5111338,0.11855577
-0.4033529,0.32464436,0.52293223,0.1180439
-0.41038996,0.30921003,0.5424393,0.116489395
-0.4101643,0.31238934,0.51573575,0.1366103
-0.391443,0.36273736,0.43899494,0.15353332
-0.37421846,0.4047606,0.427569,0.12197204
-0.38043135,0.3827062,0.4896965,0.09009643
-0.352204,0.46576208,0.41466752,0.073666655
-0.33844894,0.50511503,0.4252468,0.02654035
-0.34225065,0.5014681,0.45979482,0.0010339543
-0.33990973,0.52098787,0.44428617,-0.004137023
-0.35694602,0.48584685,0.4962748,-0.014161572
-0.37455213,0.4624514,0.50373715,0.003004244
-0.39571136,0.4382972,0.50727427,0.024526441
-0.42299137,0.40543738,0.52873003,0.0393069
-0.45102644,0.39159897,0.4933466,0.08525835
-0.47512046,0.37925357,0.4644153,0.12381126
-0.50365967,0.34519005,0.5055608,0.12288312
-0.5323106,0.33010346,0.48449844,0.15781547
-0.53986716,0.34176502,0.40836254,0.21315567
-0.549209,0.31254882,0.46790093,0.19001421
-0.5573207,0.30814132,0.44361067,0.21598072
-0.56035674,0.29902628,0.446213,0.22252174
-0.56781435,0.2788326,0.48523766,0.20848075
-0.5779565,0.27884334,0.44748315,0.24204198
-0.571663,0.28816503,0.4061451,0.26831937
-0.5657269,0.27291378,0.44771925,0.2462012
-0.5517104,0.2815098,0.4214273,0.25973308
-0.5484258,0.25311986,0.5103497,0.20931709
-0.5253397,0.28698343,0.41718102,0.25632888
-0.47150078,0.34682804,0.3666562,0.23862167
-0.4488298,0.319476,0.4764885,0.1679059
-0.3847775,0.4619655,0.36266097,0.12550193
-0.35390806,0.4910534,0.41579205,0.05054043
-0.31507587,0.59342825,0.38603604,-0.023917172
-0.2882781,0.6714388,0.387397,-0.10052927
-0.27306643,0.7244092,0.39237985,-0.15559418
-0.2805916,0.7201047,0.42760348,-0.18042342
-0.28934807,0.7224856,0.42491516,-0.17941912
-0.31313425,0.6928581,0.45595303,-0.17597836
-0.32862335,0.70437515,0.40175286,-0.1389887
-0.3517026,0.6928153,0.39729685,-0.122301064
-0.39249846,0.6415182,0.45691887,-0.12174027
-0.43487206,0.6146857,0.42911753,-0.06887324
-0.4501709,0.6359966,0.3286921,-0.0014975742
-0.4719749,0.5976988,0.37774807,-0.0058353366
-0.49619514,0.5755278,0.36724445,0.026068458
-0.49483624,0.5950562,0.3005926,0.06441585
-0.49420458,0.57405365,0.33614755,0.053429496
-0.48487407,0.5957347,0.2953021,0.06678172
-0.48930082,0.56180406,0.3558409,0.04723955
-0.49780113,0.5405917,0.36408213,0.060795493
-0.5085741,0.51847434,0.37023276,0.07722475
-0.5202532,0.4960154,0.37443012,0.09563364
-0.5304321,0.4776055,0.36610326,0.12101503
-0.5482852,0.44086117,0.41378894,0.11606928
-0.558226,0.43317723,0.37506562,0.15758984
-0.56381,0.40937296,0.39659867,0.16195382
-0.57853854,0.37296587,0.46051106,0.14261962
-0.57261556,0.40468246,0.3326955,0.22245574
-0.5555183,0.3990776,0.350294,0.21077886
-0.54447496,0.38694546,0.37723604,0.1978545
-0.54036653,0.36446932,0.4228352,0.17931482
-0.5256069,0.37095556,0.39040756,0.19980642
-0.5187125,0.35231575,0.4253345,0.18650219
-0.52565366,0.32686362,0.46754223,0.1746305
-0.53605926,0.30596527,0.48400205,0.18112838
-0.531467,0.32154995,0.41036105,0.22957134
-0.5225295,0.31748137,0.4165426,0.22711329
-0.53165394,0.27217752,0.538251,0.16569623
-0.52601373,0.30483857,0.41907483,0.23751383
-0.5079132,0.29681236,0.45334953,0.21397519
-0.5057578,0.2750957,0.51022667,0.18520117
-0.49035436,0.30469212,0.4281512,0.22706428
-0.4804504,0.2846685,0.49401587,0.18805286
-0.48534504,0.26209483,0.54680127,0.16425624
-0.47743106,0.28002214,0.48306775,0.20201299
-0.4614734,0.29146782,0.46490008,0.20544529
-0.44831663,0.2968288,0.46665984,0.19770014
-0.4259964,0.3245452,0.44160694,0.19111566
-0.41841093,0.31621528,0.4860621,0.15980075
-0.41129342,0.31528246,0.4997715,0.14835644
-0.41339874,0.2987639,0.5392614,0.13009939
-0.38971552,0.34309712,0.46535975,0.1503119
-0.40637264,0.3002897,0.5679296,0.10342225
-0.4046623,0.30302927,0.5468055,0.119231686
-0.38720098,0.33589554,0.48397508,0.14120054
-0.342956,0.45295963,0.40450948,0.09482417
-0.3131004,0.5330811,0.4103137,0.011894839
-0.28192896,0.6292494,0.40089026,-0.07320587
-0.24976075,0.74723566,0.37853757,-0.16821028
-0.26535878,0.70603883,0.46970734,-0.20473066
-0.25677323,0.7499026,0.41508403,-0.19989106
-0.26563102,0.7420099,0.43632382,-0.20966661
-0.25468114,0.82362545,0.3568047,-0.22046867
-0.26409262,0.8333948,0.36978057,-0.23931174
-0.28455025,0.8280155,0.37570995,-0.23713239
-0.31807578,0.794917,0.40629125,-0.22877295
-0.3614678,0.750471,0.44191694,-0.21341264
-0.40979624,0.7298114,0.38795093,-0.14352053
-0.46896392,0.6786071,0.4243571,-0.12142024
-0.5079137,0.6848888,0.30066174,-0.017777793
-0.49594727,0.7370006,0.21145797,0.0067158923
-0.50527704,0.6911344,0.2976418,-0.022221122
-0.52288526,0.6575927,0.32591134,-0.0133164255
-0.53602475,0.63582826,0.31798804,0.01501966
-0.5514374,0.60263604,0.3405264,0.028145786
-0.5647427,0.5964645,0.28361732,0.08367589
-0.6032303,0.5335771,0.3888852,0.055800606
-0.62623566,0.52013344,0.34562388,0.1076348
-0.64958704,0.4927574,0.3573258,0.12535
-0.6675273,0.47227263,0.35719767,0.14636251
-0.6551711,0.48828277,0.26913702,0.20609608
-0.67553836,0.446522,0.34022683,0.18565868
-0.6639167,0.45392245,0.2842379,0.22584525
-0.67598146,0.4188288,0.34636134,0.2062592
-0.6795581,0.39987463,0.37058222,0.20391461
-0.6505844,0.42856073,0.2730041,0.25862795
-0.64097035,0.402705,0.33192235,0.23121437
-0.6025212,0.43601862,0.26430178,0.25433213
-0.5943204,0.38961378,0.39320892,0.18619712
-0.5506913,0.45543188,0.27559954,0.22107342
-0.53450453,0.41444486,0.3914256,0.1587626
-0.51769525,0.41935483,0.37023157,0.17085749
-0.47484463,0.46383867,0.33330947,0.1570667
-0.4637723,0.41539264,0.46569404,0.08811055
-0.4408247,0.4732631,0.36077183,0.12179323
-0.4126312,0.5053738,0.3674155,0.083152816
-0.41646552,0.46548527,0.45685506,0.044425268
-0.41387573,0.47531074,0.42083415,0.06603925
-0.3970461,0.5143501,0.38319498,0.059813034
-0.4006474,0.49470335,0.4308029,0.037862133
-0.40362445,0.5026069,0.41001716,0.04846118
-0.40667996,0.5023427,0.41195792,0.04719035
-0.4286235,0.4524702,0.4975956,0.022489628
-0.45520473,0.43028945,0.48432836,0.057177227
-0.4827692,0.4008932,0.49923038,0.07444231
-0.5088569,0.39178342,0.44816095,0.12928282
-0.52873474,0.38381097,0.40837473,0.17266199
-0.5551359,0.3418171,0.48360118,0.14951596
-0.57605493,0.34015337,0.42502365,0.2034643
-0.5883819,0.32183668,0.44164366,0.20744312
-0.59423417,0.32000178,0.40682465,0.23969157
-0.59516275,0.3107795,0.41042385,0.24546301
-0.5947376,0.29965335,0.4248441,0.24337403
-0.5913285,0.29334533,0.42115575,0.2522129
-0.5723573,0.2957154,0.39879072,0.2676464
-0.5399498,0.31445104,0.36783236,0.27352342
-0.52303624,0.2789232,0.47281536,0.21491773
-0.51215327,0.264054,0.49836388,0.20612764
-0.50444925,0.2607847,0.4996737,0.20750678
-0.49019796,0.26852548,0.4725048,0.22255006
