intercept,daily,monthly,weekly
0.4965249,0.7031063,0.38123518,-0.026995534
0.50094163,0.7134747,0.3775391,-0.033927105
0.47897515,0.6593779,0.4001612,0.00805671
0.47672033,0.6506182,0.40456906,0.010781733
0.46039647,0.6107294,0.42090687,0.041562963
0.43411952,0.548806,0.44575638,0.091703
0.4323071,0.53962463,0.45041043,0.0922186
0.42409056,0.5220822,0.45684004,0.10843363
0.4179291,0.5070375,0.4628091,0.11960723
0.40250453,0.47599465,0.47386527,0.15128386
0.39903373,0.4655692,0.47836557,0.15583578
0.40343994,0.4724721,0.47608876,0.14461286
0.39141607,0.45262107,0.48174065,0.17021406
0.4005835,0.4642168,0.4789142,0.14555511
0.3897222,0.44557047,0.48377982,0.16437876
0.39351812,0.4504246,0.48091644,0.14547303
0.38115132,0.42633134,0.48790565,0.16353413
0.35471246,0.37172776,0.507169,0.21231143
0.33395642,0.32654768,0.52381384,0.24976178
0.3311947,0.3126495,0.5301813,0.24633007
0.3489811,0.3485732,0.5158547,0.20370391
0.34254584,0.33887002,0.51763403,0.21455231
0.33908123,0.33149943,0.51943624,0.21646015
0.31558514,0.28215048,0.53711796,0.25953257
0.31190664,0.26969838,0.54236573,0.26110587
0.33987924,0.33267802,0.5161102,0.19914362
0.330866,0.31730264,0.519737,0.21340103
0.31902447,0.2903776,0.52940863,0.2315825
0.3084758,0.26624236,0.538423,0.24900684
0.30285352,0.2528422,0.54340804,0.2571025
0.32262677,0.2986136,0.52444816,0.21607895
0.3080154,0.2669743,0.5360845,0.24297898
0.28653425,0.2163539,0.556214,0.28205955
0.2985255,0.2421129,0.54599154,0.25601196
0.29869914,0.24485298,0.5439657,0.25494003
0.28806782,0.21956801,0.55396116,0.2738438
0.28589627,0.21375021,0.55623615,0.2764977
0.30077285,0.25007612,0.5408879,0.24695122
0.3030638,0.2579972,0.53666943,0.2417361
0.29336253,0.23598528,0.54501605,0.25884944
0.29943493,0.25050512,0.538698,0.24535713
0.3246983,0.3132771,0.51272523,0.19958939
0.31570366,0.29409233,0.5200511,0.21775396
0.31689844,0.29614598,0.5195602,0.21575865
0.33706293,0.34430483,0.50076675,0.18167828
0.35218543,0.38092327,0.4869217,0.15924504
0.3349704,0.33876762,0.50448483,0.1921118
0.32478705,0.31224248,0.51591015,0.21069984
0.3115247,0.27862313,0.5300885,0.23481283
0.31302336,0.27962455,0.5300416,0.22960381
0.33524296,0.3344955,0.50673777,0.1861132
0.34888387,0.37158564,0.49056092,0.16259865
0.33364362,0.3373556,0.50359666,0.19030274
0.36456338,0.41057903,0.47535935,0.13858995
0.38057205,0.44903535,0.46143135,0.11721641
0.3780257,0.44144505,0.46587056,0.12613542
0.38422328,0.45369592,0.46237534,0.11754757
0.3601292,0.3956141,0.48569363,0.16045125
0.3403805,0.34523955,0.5062526,0.19260284
0.32185856,0.2990762,0.5245515,0.22203532
0.2964812,0.23857526,0.5480698,0.26460153
0.29237774,0.22624905,0.5528722,0.26741922
0.2925376,0.22790924,0.55112517,0.2641496
0.27201325,0.1815199,0.56898224,0.3020377
0.26623756,0.16599452,0.575429,0.3107463
0.2855091,0.2113277,0.5567416,0.27231005
0.27059454,0.17967883,0.56846964,0.30109355
0.27350482,0.18473732,0.56661,0.29361543
0.27129775,0.18081126,0.5676109,0.29696885
0.25439113,0.14257342,0.58249843,0.3286851
0.26087388,0.15382403,0.5787281,0.31382975
0.27549252,0.1898885,0.56341195,0.285224
0.2694053,0.17824554,0.56726515,0.29696572
0.2788261,0.2006397,0.55788416,0.27777785
0.25263134,0.141871,0.5808527,0.3281719
0.27989608,0.20240624,0.55714285,0.2740339
0.3154324,0.29159468,0.5200479,0.21027675
0.30293354,0.26538482,0.52990294,0.2357161
0.36475658,0.4121117,0.4733664,0.13351914
0.38458008,0.46011537,0.456263,0.10914822
0.43368426,0.57450163,0.41489965,0.03753933
0.4733076,0.6656976,0.3831008,-0.01650783
0.49977002,0.7252605,0.36333174,-0.050593846
0.4952022,0.70950544,0.37244445,-0.036258362
0.49249244,0.6982331,0.37934068,-0.027757546
0.47168404,0.6434761,0.40310144,0.010976535
0.47831115,0.65636474,0.39877596,-0.0021430166
0.47461113,0.64688784,0.40261403,0.0042411657
0.44209236,0.56755066,0.43492174,0.06389673
0.43149814,0.5390154,0.44697267,0.08075796
0.45545545,0.59781826,0.42229328,0.0337296
0.43968493,0.56201196,0.4359188,0.06251011
0.43284988,0.5450328,0.44244832,0.072542325
0.44964224,0.5878673,0.42387477,0.039025515
0.44102263,0.56969595,0.430309,0.0544972
0.45391187,0.60180056,0.4166886,0.029118717
0.4341642,0.55526155,0.4352068,0.065579146
0.42234492,0.52577853,0.44722486,0.08561106
0.41202316,0.49990815,0.4576065,0.10233388
0.40278667,0.4776649,0.46621147,0.1172383
0.3992032,0.46831727,0.46945977,0.12021331
0.3771122,0.41723412,0.48924404,0.16001967
0.37874484,0.41949695,0.48796457,0.15242268
0.36830893,0.39671403,0.4958868,0.16906504
0.33727533,0.32633972,0.5229782,0.22613701
0.3674931,0.39227605,0.4966815,0.16147307
0.3723928,0.41006508,0.48714715,0.1508912
