intercept,daily,monthly,weekly
-1.2317606,0.46926993,0.13037817,0.2648516
-1.2082242,0.4958075,0.122808,0.24949351
-1.2916172,0.40580726,0.16802604,0.29917055
-1.2609007,0.43666536,0.14254756,0.28306395
-1.3181156,0.37565324,0.17659804,0.3163794
-1.3558987,0.33496433,0.1966348,0.33903807
-1.3401992,0.3509342,0.18440583,0.3306261
-1.357866,0.33231995,0.19538833,0.34081784
-1.3669717,0.32266122,0.20055358,0.3462091
-1.3915632,0.2970365,0.21666145,0.3601888
-1.384548,0.3043,0.21172872,0.3562974
-1.3765875,0.31254014,0.20619206,0.3518638
-1.3989632,0.28937086,0.22134753,0.3644506
-1.3709091,0.3185121,0.20211919,0.3487484
-1.3872828,0.30157813,0.21342178,0.35789523
-1.3456414,0.34498486,0.18516424,0.3345182
-1.3649621,0.3249195,0.19855383,0.34528914
-1.3917192,0.2971241,0.21670263,0.36031988
-1.4025252,0.28592595,0.22393236,0.36642146
-1.3857086,0.303426,0.21245189,0.35700023
-1.354133,0.33653182,0.19117364,0.33925238
-1.3803568,0.30934495,0.20901069,0.35397395
-1.3759242,0.31412378,0.20610866,0.35147136
-1.4027684,0.2863441,0.22443035,0.3665222
-1.3955672,0.29393977,0.21952942,0.36249474
-1.3434576,0.34860623,0.18459101,0.33317837
-1.379827,0.31063563,0.2092785,0.35357437
-1.3874584,0.30263442,0.2141892,0.357925
-1.394522,0.29531366,0.2190532,0.36187112
-1.3940709,0.29582512,0.21875584,0.36161995
-1.3615263,0.3298975,0.19671598,0.3433685
-1.3944836,0.29537296,0.2188777,0.36189374
-1.407614,0.2816289,0.227565,0.3693142
-1.3848633,0.30545253,0.21224049,0.35653314
-1.3886526,0.3015043,0.21487014,0.35864288
-1.4029176,0.2865602,0.22429487,0.3667069
-1.4005606,0.2890291,0.22263913,0.36540216
-1.3812234,0.30935362,0.20976639,0.35450417
-1.3864362,0.30394107,0.2133681,0.35741222
-1.3986006,0.2911957,0.22149411,0.36426306
-1.3844892,0.30600116,0.21209271,0.35631007
-1.3401036,0.3527822,0.18320708,0.33112863
-1.3844904,0.30621502,0.21291018,0.35610843
-1.3788176,0.31217012,0.20904616,0.35293478
-1.3495553,0.34314087,0.19043909,0.3362286
-1.3479143,0.34502357,0.19010638,0.33511174
-1.3893375,0.3011633,0.21637154,0.3587792
-1.3935826,0.29671007,0.2190549,0.36121082
-1.4010315,0.28885898,0.2238164,0.36545995
-1.3928497,0.29737812,0.21805985,0.36092684
-1.3500243,0.3423136,0.18938738,0.33683288
-1.337655,0.35555464,0.1822669,0.3295811
-1.3816245,0.3093328,0.21145952,0.3543784
-1.3095843,0.38552293,0.16546758,0.313292
-1.3298248,0.3645769,0.18053833,0.3242954
-1.3598282,0.3326324,0.19900016,0.34157237
-1.3462121,0.3468372,0.18961987,0.33397275
-1.3818105,0.30921465,0.21246608,0.35424665
-1.3869512,0.30356058,0.21486947,0.35739714
-1.3932804,0.2967819,0.21849637,0.361113
-1.4044871,0.2849756,0.22566345,0.3675075
-1.3980322,0.2916573,0.22098443,0.36396632
-1.3935454,0.29633906,0.21788569,0.36146572
-1.4127156,0.27632803,0.23084918,0.37222627
-1.4107338,0.27839154,0.22941673,0.37113923
-1.387481,0.30269995,0.21363032,0.35810778
-1.4109434,0.27820534,0.22962508,0.37124115
-1.4046896,0.28475028,0.22529736,0.36775988
-1.4065536,0.28281528,0.22661164,0.36879215
-1.4169033,0.27201456,0.23364654,0.37459105
-1.4087441,0.2805145,0.22797532,0.37005314
-1.3954151,0.2944486,0.21892676,0.36258358
-1.4079173,0.28141564,0.22749384,0.3695708
-1.3979218,0.29190806,0.22074604,0.36396256
-1.4203379,0.26850033,0.23602565,0.3765086
-1.3913349,0.29891074,0.21643415,0.3602381
-1.350873,0.34159845,0.18999438,0.33732137
-1.4020134,0.2879352,0.22435209,0.36605713
-1.284282,0.41267905,0.14954177,0.29885846
-1.3511618,0.34244522,0.1947774,0.3363554
-1.2963367,0.40101737,0.16194238,0.30456224
-1.3006111,0.3969582,0.16685732,0.30645004
-1.3015863,0.3959644,0.1679364,0.30688173
-1.3519648,0.34170085,0.19677511,0.3364069
-1.3512914,0.3421403,0.19539201,0.33625057
-1.3786119,0.31278378,0.21111672,0.3522523
-1.3484508,0.3443183,0.190579,0.33536115
-1.359019,0.33295852,0.19668567,0.34154692
