intercept,daily,monthly,weekly
-0.80755746,0.46022335,0.19053383,0.2684822
-0.80840456,0.45978862,0.19030952,0.26912767
-0.81259954,0.45860046,0.18995534,0.2707662
-0.8069776,0.4607591,0.19076425,0.2677393
-0.81049174,0.45938158,0.19038236,0.26953417
-0.81130075,0.45928517,0.19037494,0.26966125
-0.803634,0.46215096,0.19153,0.2655441
-0.80770844,0.46046004,0.19089329,0.26790714
-0.8018389,0.46277723,0.19182107,0.26459235
-0.8061638,0.46112004,0.19117185,0.2669408
-0.8000821,0.4634745,0.19210967,0.26357368
-0.7983747,0.4636344,0.19217923,0.26328236
-0.8028342,0.46217164,0.19159557,0.26538885
-0.7935669,0.46508488,0.19276002,0.26116025
-0.80324113,0.46152288,0.19134054,0.26627555
-0.79392815,0.46473378,0.19261953,0.2616666
-0.80284834,0.46143216,0.19130574,0.26639825
-0.80464315,0.46156612,0.19135214,0.2662928
-0.80483896,0.46168417,0.19139884,0.26613945
-0.7999819,0.4633522,0.1920648,0.2637381
-0.79712224,0.4634657,0.19211748,0.2634857
-0.804232,0.4611159,0.19117934,0.26688242
-0.8018056,0.46231833,0.19165358,0.26519853
-0.8115057,0.4589756,0.1903182,0.27001384
-0.8058653,0.4612611,0.19122317,0.26676694
-0.79870796,0.46300024,0.19192073,0.26418978
-0.8095292,0.4591822,0.19040388,0.26966855
-0.8051189,0.46125588,0.19122356,0.26674742
-0.80988616,0.45944867,0.19050524,0.26932904
-0.8084399,0.46011692,0.19076705,0.26838946
-0.7996391,0.46280408,0.19184251,0.2644856
-0.81003684,0.45909375,0.19036971,0.26980358
-0.8081783,0.46027747,0.19083676,0.268159
-0.803384,0.46172595,0.19141552,0.26605442
-0.8074913,0.46009174,0.19076635,0.26838136
-0.80550444,0.46105114,0.19114968,0.26702684
-0.8054207,0.46098128,0.19112343,0.26711598
-0.80371606,0.4612897,0.1912458,0.26664644
-0.8063181,0.46031657,0.19085813,0.2680386
-0.80740345,0.46021748,0.19081649,0.26821023
-0.8043725,0.46116155,0.19119194,0.2668435
-0.80339944,0.46085024,0.19106224,0.26723272
-0.81138,0.4585924,0.19016309,0.27052876
-0.8078405,0.4601329,0.19076504,0.26835707
-0.8074501,0.4599247,0.19067544,0.2686282
-0.8086561,0.45947132,0.19049028,0.26928058
-0.81154215,0.45882836,0.19024837,0.27022713
