intercept,daily,monthly,weekly
-1.2812045,0.45903435,0.08268414,0.33163458
-1.2820792,0.47197947,0.07333308,0.32540423
-1.2830832,0.45027393,0.10088611,0.33743367
-1.2820293,0.45532027,0.09074958,0.33391064
-1.2817347,0.44021136,0.10537801,0.3418025
-1.2811171,0.4194092,0.123302326,0.3530794
-1.2787914,0.41718858,0.115788504,0.35251796
-1.2775958,0.4029982,0.12500879,0.35972565
-1.2757715,0.3905833,0.1297318,0.36539418
-1.2745174,0.3714312,0.14379565,0.37525296
-1.2725905,0.36218572,0.14472488,0.37950224
-1.2703813,0.35383454,0.14325683,0.3831726
-1.2687833,0.32944855,0.16137953,0.39592075
-1.2663848,0.32825026,0.15100794,0.39592117
-1.2641294,0.29963621,0.17068668,0.41098875
-1.2625946,0.30412623,0.15750392,0.40876493
-1.2607406,0.27960438,0.1750921,0.4215923
-1.2591556,0.24957106,0.19913922,0.4378132
-1.2579796,0.23463666,0.20910403,0.44567052
-1.257128,0.2388281,0.20103972,0.44281283
-1.2579839,0.26370305,0.17839567,0.42922822
-1.2560966,0.23538828,0.20004492,0.44375706
-1.2557911,0.23257796,0.20149,0.44516438
-1.2539966,0.20085526,0.22602245,0.46228868
-1.2537705,0.20390885,0.22213614,0.460123
-1.2573225,0.25757414,0.18194115,0.4313105
-1.2540208,0.21558006,0.21148281,0.45315018
-1.2528708,0.20317969,0.21917942,0.45955977
-1.2526358,0.19703871,0.22449358,0.46292186
-1.2529294,0.19902873,0.22380261,0.46185297
-1.2564476,0.24520962,0.19168785,0.43705535
-1.2536184,0.20871982,0.21733809,0.45622092
-1.2527002,0.19419007,0.2281344,0.46407694
-1.2555022,0.22898357,0.20499578,0.44536042
-1.2556719,0.22809705,0.20678715,0.4459122
-1.2546521,0.21622305,0.21480903,0.45187005
-1.2550197,0.22100453,0.21161231,0.44920325
-1.2574859,0.2481865,0.19442344,0.4349332
-1.2571869,0.24345918,0.19815917,0.43736118
-1.2560498,0.22886197,0.20829618,0.44505987
-1.2578137,0.249078,0.19519906,0.43443617
-1.2628151,0.3020771,0.16188383,0.40721363
-1.2592945,0.2560729,0.1946712,0.43132743
-1.2602642,0.26533717,0.18947546,0.42647514
-1.2638327,0.30271494,0.1665816,0.40706283
-1.2648071,0.30986747,0.1636084,0.4035681
-1.2614481,0.26905814,0.19100353,0.42505068
-1.2613431,0.2659796,0.19371518,0.4267052
-1.2606722,0.25736457,0.1994877,0.43131742
-1.2608281,0.2665407,0.19120061,0.4257129
-1.264242,0.31279886,0.1578138,0.40125614
-1.2651033,0.32028866,0.1536847,0.39775962
-1.2609023,0.26859802,0.18900347,0.42502013
-1.2667196,0.3348876,0.14533451,0.390805
-1.2660296,0.32162675,0.15649888,0.3980587
-1.2634735,0.29039535,0.17750654,0.4146083
-1.2638007,0.29804713,0.1708788,0.41048306
-1.2596706,0.25021476,0.20135227,0.43608975
-1.2580664,0.23882046,0.20604739,0.44158584
-1.2566202,0.22864759,0.21027961,0.44639176
-1.2547066,0.20941262,0.22144346,0.45639905
-1.2549202,0.22013804,0.21186152,0.44985232
-1.255379,0.2275277,0.2063295,0.4457562
-1.2539775,0.20678134,0.22165212,0.45679012
-1.2545911,0.21476121,0.21643698,0.4522829
-1.2575499,0.24993522,0.19312234,0.4337079
