intercept,daily,monthly,weekly
0.17073861,0.46392283,0.71346307,-0.14137341
0.17074576,0.46384937,0.7136505,-0.14139225
0.17059495,0.46444112,0.7120607,-0.14059985
0.170706,0.46414456,0.7127606,-0.14089316
0.17061324,0.46450457,0.7118182,-0.14034241
0.17055425,0.46485943,0.710664,-0.1396296
0.17072389,0.46445984,0.71170217,-0.14006872
0.1707144,0.46455508,0.7113475,-0.13980669
0.17078082,0.46448398,0.7114419,-0.13973664
0.17073706,0.4647048,0.71055067,-0.13911685
0.17083871,0.46450776,0.71110165,-0.13937022
0.17096883,0.46426854,0.71188104,-0.13973112
0.1708552,0.46455207,0.71082944,-0.13910958
0.17106317,0.464072,0.71250886,-0.14006999
0.17089535,0.46435785,0.71171695,-0.13975684
0.1710316,0.4639264,0.713138,-0.14066981
0.17090029,0.4641687,0.71250534,-0.14040646
0.17070228,0.4646359,0.7110838,-0.13966182
0.17064229,0.4648159,0.7104742,-0.13929167
0.1707595,0.46446967,0.71160436,-0.13997479
0.17084272,0.46402138,0.7131671,-0.14106978
0.17067568,0.4643305,0.7124058,-0.1407964
0.17061701,0.46431723,0.71254456,-0.1410399
0.17037174,0.46486226,0.7112786,-0.14055511
0.17039369,0.46466422,0.7118651,-0.14098045
0.17057517,0.4638559,0.7139355,-0.14224264
0.1704292,0.4642559,0.71302426,-0.14182422
0.17039399,0.4643627,0.71277434,-0.14170119
0.17033204,0.46450895,0.71247154,-0.14159247
0.17032067,0.4644956,0.7125183,-0.14165775
0.17047416,0.46390295,0.7139038,-0.14242199
0.17035688,0.4643569,0.71285075,-0.14183347
0.17028634,0.46464866,0.7121388,-0.14142616
0.1703946,0.46416274,0.7133094,-0.14212076
0.17037463,0.46422806,0.7131597,-0.142046
0.17033656,0.46439385,0.71276844,-0.14181434
0.17035276,0.46431312,0.7129579,-0.14193192
0.17039838,0.46399865,0.71372235,-0.14244065
0.17036912,0.46405226,0.7136153,-0.1424176
0.17031811,0.46425644,0.71314853,-0.14215901
0.17036499,0.46403557,0.71366453,-0.14246325
0.17044187,0.46364158,0.71454835,-0.14298001
0.17030835,0.46414322,0.71345115,-0.14241669
0.17031504,0.46408716,0.7135785,-0.14250281
0.17037089,0.46379843,0.71422356,-0.14287587
0.17036772,0.4638315,0.7141545,-0.14282492
0.17026974,0.46432203,0.7130582,-0.14219353
0.17023912,0.4644006,0.7129012,-0.14213826
0.17021044,0.46453065,0.7126076,-0.14197505
0.1702783,0.46424255,0.7132412,-0.14231816
0.17042853,0.46363798,0.71456695,-0.1430266
0.17042755,0.4636249,0.71459687,-0.14304075
0.17029758,0.46416274,0.71342736,-0.1424193
0.17042914,0.46359324,0.71466744,-0.14307219
0.17038992,0.46381012,0.7141996,-0.14279805
0.17032266,0.4641447,0.7134551,-0.14238346
0.17036569,0.46400604,0.71374583,-0.14251545
0.17026113,0.46449152,0.71265185,-0.14190042
0.17027494,0.46449074,0.71262634,-0.14184606
0.17028962,0.46447974,0.7126298,-0.14181115
0.17026089,0.46464807,0.7122029,-0.14153805
0.17035654,0.46432963,0.712918,-0.14189085
0.17039604,0.46418983,0.71324384,-0.1420642
0.17029102,0.4645844,0.7123109,-0.14154848
0.17032507,0.4644618,0.71258724,-0.14169459
0.17043692,0.46399078,0.7137116,-0.14235145
0.17030737,0.46445784,0.7126304,-0.14176588
0.1703544,0.46423745,0.71315163,-0.14208022
0.17033257,0.46429577,0.7130308,-0.14202887
0.17025957,0.46460277,0.7123014,-0.14161192
0.1703597,0.46423984,0.71313536,-0.14205627
