intercept,daily,monthly,weekly
-0.5515357,0.5548409,0.1323254,0.25879794
-0.5584991,0.5291414,0.13681655,0.27965027
-0.5408926,0.5858463,0.1274154,0.23443332
-0.55913424,0.5293039,0.13484077,0.28120464
-0.54064286,0.58839303,0.12724917,0.23116043
-0.54519176,0.57252556,0.12831843,0.24545734
-0.54712605,0.57192737,0.12835775,0.24509287
-0.5447017,0.5753056,0.12836738,0.24193397
-0.54385364,0.5830161,0.12613817,0.23626983
-0.5390059,0.597027,0.12419102,0.2247177
-0.54211354,0.58907664,0.12519482,0.23135825
-0.54513353,0.58164966,0.12551083,0.23812625
-0.5347622,0.61353105,0.12167354,0.21157086
-0.5516968,0.5645582,0.12747562,0.25271666
-0.5363092,0.60775906,0.12285261,0.21592426
-0.55606556,0.5500543,0.13055423,0.26406595
-0.53863806,0.59982836,0.124846004,0.22174811
-0.5393796,0.59851736,0.12371757,0.22432172
-0.5350366,0.61460483,0.12103669,0.21113884
-0.5443021,0.5858919,0.12493672,0.23522392
-0.5514606,0.56867284,0.12670274,0.2497324
-0.54118025,0.5949365,0.12356315,0.22783251
-0.54833955,0.5776578,0.124657154,0.24349435
-0.5329929,0.62419945,0.118843816,0.20474346
-0.5468416,0.5840025,0.12272005,0.23928761
-0.55384326,0.5658651,0.12582022,0.25397128
-0.54371536,0.5925425,0.122043945,0.23186111
-0.5474878,0.5846771,0.121876895,0.23977605
-0.5420332,0.6003045,0.120173536,0.22625978
-0.5456751,0.59035164,0.12117847,0.235145
-0.5555687,0.5619452,0.124229774,0.2587111
-0.5402218,0.60645777,0.11918551,0.22152333
-0.5440945,0.5954288,0.11890485,0.23161824
-0.55049336,0.5788524,0.12219177,0.24523656
-0.5475975,0.5840754,0.120810725,0.24065208
-0.5446423,0.59673774,0.11852989,0.23121302
-0.5490637,0.58194125,0.12010576,0.24328013
-0.551472,0.5768636,0.121913984,0.24744885
-0.55113167,0.575737,0.12097658,0.24840498
-0.54478025,0.5967666,0.118924655,0.23127297
-0.55491865,0.56492335,0.12228861,0.2575643
-0.54534256,0.625409,0.11993716,0.20303969
-0.5487787,0.5803647,0.120988056,0.24411666
-0.5483482,0.586556,0.12173583,0.23945642
-0.5553131,0.5607461,0.12417905,0.2599228
-0.5494253,0.5810355,0.123994984,0.2429587
-0.54663706,0.5869645,0.1194195,0.23916897
-0.54301965,0.6030208,0.12018937,0.22556794
-0.54495376,0.593433,0.117964044,0.2343884
-0.5468563,0.59361136,0.12013866,0.23431858
-0.5579658,0.55606586,0.123910025,0.26405504
-0.55097485,0.57595956,0.12536275,0.24641652
-0.54937243,0.5787335,0.12086575,0.24568681
-0.55365264,0.566041,0.12738016,0.25436485
-0.55284846,0.56513095,0.12482785,0.2552877
-0.5470233,0.58613294,0.12405975,0.2383503
-0.5528872,0.56570274,0.124154784,0.25532365
-0.5383501,0.6120351,0.12098469,0.21638998
-0.5492828,0.5786053,0.12095444,0.24581794
-0.5395417,0.6121063,0.11933637,0.21738918
-0.5440129,0.59473735,0.11861931,0.23221278
-0.5466479,0.5927634,0.11976638,0.23467238
-0.5497507,0.57939136,0.120422386,0.245048
-0.537535,0.6185523,0.115924045,0.21317096
-0.5485812,0.58496314,0.118642285,0.24142674
-0.55207855,0.5760682,0.12148247,0.24845438
-0.5408424,0.6063499,0.11633823,0.22320357
-0.55203617,0.57719314,0.11989917,0.2486494
-0.5442712,0.59784114,0.11734654,0.23051925
-0.54109,0.6083833,0.116162755,0.2222363
-0.55136436,0.5795528,0.1184415,0.24681553
-0.55170107,0.57754666,0.120273255,0.24777666
-0.5455572,0.5944459,0.117263794,0.23385076
-0.5556773,0.5659536,0.120847285,0.2581799
-0.53573704,0.6239588,0.11372185,0.20908749
-0.56016314,0.5529068,0.12241799,0.26947927
-0.5529879,0.5745643,0.12213632,0.24886703
-0.5476478,0.5869311,0.11920448,0.24023321
-0.55688953,0.5581524,0.12681405,0.26095706
-0.55079424,0.5742483,0.12340995,0.24879308
-0.5589383,0.5487076,0.12735279,0.27006322
-0.55087876,0.57149553,0.12512961,0.24978514
-0.5579368,0.5471895,0.12851831,0.27088654
-0.5469948,0.58503187,0.12126388,0.24052624
-0.554452,0.55948573,0.12603137,0.2613838
-0.54336005,0.5959673,0.119077824,0.231752
-0.55974543,0.5440407,0.12755331,0.27380657
-0.5506273,0.5736517,0.1227232,0.24874637
-0.54444486,0.5904048,0.12063881,0.23534569
-0.5502287,0.5762016,0.12141393,0.24739066
-0.5613381,0.53970075,0.1280551,0.27669278
-0.5458275,0.58696663,0.12067783,0.237667
-0.557955,0.55056745,0.12519546,0.26870427
-0.5552029,0.5584821,0.12634969,0.2596957
-0.55542237,0.5537828,0.12636909,0.2646555
-0.5570536,0.5520142,0.12740877,0.26491442
-0.55018586,0.56867313,0.12486658,0.25179675
-0.5517158,0.5672163,0.12438394,0.25348926
-0.5516895,0.56645393,0.124113955,0.254433
-0.5500884,0.57213616,0.12362202,0.24933405
-0.5548424,0.55939895,0.12413593,0.2609209
-0.54233325,0.5962099,0.11987893,0.22961512
-0.5576049,0.55278265,0.12449767,0.2669517
-0.544015,0.59343094,0.11953175,0.23255077
-0.5414065,0.603092,0.1171193,0.225633
-0.5606897,0.54700595,0.12510595,0.27171794
-0.55117714,0.57297695,0.12266036,0.24936923
-0.5553883,0.56064796,0.123094596,0.260733
-0.54559964,0.58977693,0.11980057,0.23604059
-0.5587553,0.5495794,0.12492546,0.26985425
-0.5470199,0.5862192,0.1198177,0.23923793
-0.5495175,0.57819307,0.12025432,0.24662463
-0.54433864,0.59646344,0.117579415,0.23147449
-0.5601425,0.54823846,0.124077365,0.27173322
-0.5432921,0.6032375,0.118649445,0.22527537
-0.5373953,0.61744803,0.114603475,0.21432504
-0.55326575,0.5743311,0.12175834,0.25017482
-0.54529834,0.59453243,0.11804745,0.23324163
-0.54808974,0.58653545,0.117480375,0.24115908
-0.5583919,0.55806047,0.1217194,0.26451746
-0.54493225,0.59503484,0.11731491,0.23333398
-0.54596317,0.59519994,0.115682125,0.23452291
-0.55675995,0.5636923,0.12001015,0.26071003
-0.55437666,0.5695313,0.11979252,0.2553472
-0.55733156,0.5614754,0.120223,0.26255086
-0.5578321,0.55836374,0.122247614,0.26392898
-0.55307823,0.57124394,0.1201454,0.25349763
-0.55477345,0.56746584,0.12020186,0.25725988
-0.5479801,0.58787245,0.11713771,0.2403795
-0.5625788,0.54319125,0.12328696,0.27754107
-0.54095,0.6094957,0.11388042,0.22253112
-0.55953693,0.55469215,0.12031881,0.26918554
-0.5559586,0.5667905,0.11953751,0.25800642
-0.56555855,0.5296173,0.12836419,0.28599674
-0.55534685,0.56004727,0.125005,0.25973278
-0.5646888,0.5281732,0.1292,0.28727806
-0.5525053,0.56387097,0.12736943,0.25467137
-0.54990447,0.5736629,0.12114527,0.25251383
-0.54349667,0.5967634,0.123965524,0.22819078
-0.553255,0.5628568,0.123984255,0.25969115
-0.5467363,0.5838492,0.12798469,0.2364938
-0.5577475,0.5446199,0.12928614,0.27137756
-0.54101884,0.6006815,0.12528971,0.22311167
-0.5473985,0.57754034,0.123023964,0.24597073
-0.5266667,0.64623404,0.11854758,0.18591858
-0.5553273,0.5564542,0.12481072,0.26363948
-0.53606033,0.616733,0.117211536,0.21254611
-0.56421053,0.53131974,0.12837112,0.2837604
-0.55489886,0.55452263,0.13318565,0.25720808
-0.5489724,0.56587064,0.12751456,0.25202876
-0.54574585,0.5847372,0.12292795,0.23836179
-0.5501101,0.5667769,0.12601922,0.25266546
-0.5423098,0.5931013,0.121894106,0.23123157
-0.5606478,0.5407871,0.12768005,0.27530357
-0.5333354,0.6226438,0.11802895,0.20604534
-0.5530042,0.5647549,0.12401251,0.25587094
-0.5373734,0.6121901,0.11833205,0.2156599
-0.5454601,0.5881451,0.1206239,0.23663668
-0.5565289,0.5601469,0.124240026,0.25976616
-0.53770316,0.60957,0.11896305,0.21784382
-0.5579214,0.5543655,0.12469424,0.26528785
-0.53561723,0.6173959,0.11783656,0.211554
-0.53823483,0.6383867,0.11507807,0.1938185
-0.5564914,0.5604764,0.12395644,0.26019973
-0.5415598,0.6019913,0.11910927,0.22543211
-0.5614158,0.5431822,0.12708797,0.27397808
-0.5334929,0.62506765,0.11727025,0.20529823
-0.5646013,0.5292279,0.13035168,0.28469878
-0.53653145,0.6156308,0.1191573,0.21266918
-0.5607866,0.54111284,0.12719123,0.27636573
-0.5495699,0.5793402,0.12377498,0.24321799
-0.54213667,0.59697676,0.11899845,0.23084278
-0.5582035,0.55183077,0.12612222,0.26681075
-0.5505011,0.6007819,0.122693956,0.22296491
-0.54449505,0.59146035,0.11971794,0.23503661
-0.5604297,0.5430495,0.12599193,0.27536988
-0.5550582,0.5581106,0.1259853,0.26088676
-0.5548517,0.5587423,0.123814896,0.2623158
-0.55620134,0.556106,0.12509736,0.26333597
-0.556818,0.55174685,0.12583296,0.26705176
-0.5399031,0.6043215,0.1179805,0.22405997
-0.55372417,0.5650487,0.1221828,0.2575315
-0.5400295,0.6061083,0.117441915,0.22244816
-0.5572965,0.5561335,0.12279423,0.26523668
-0.55145407,0.57546556,0.12075541,0.2483345
-0.5400901,0.60649025,0.11679032,0.2226698
-0.55448526,0.56721866,0.121256314,0.2560021
-0.54090893,0.6057453,0.116825715,0.2234629
-0.5551907,0.5648559,0.1214665,0.25815973
-0.5460456,0.5929906,0.11770171,0.23478925
-0.5495133,0.58135474,0.119432904,0.24446964
-0.54830205,0.58678377,0.11840461,0.2401563
