observed,target
0.001326259946949602,0.01
0.005305039787798408,0.02
0.013262599469496022,0.03
0.025198938992042442,0.04
0.034482758620689655,0.05
0.050397877984084884,0.06
0.07029177718832891,0.07
0.08090185676392574,0.08
0.09151193633952255,0.09
0.10610079575596817,0.1
0.1220159151193634,0.11
0.13395225464190982,0.12
0.15782493368700265,0.13
0.16843501326259946,0.14
0.17904509283819628,0.15
0.1883289124668435,0.16
0.1962864721485411,0.17
0.20822281167108753,0.18
0.22148541114058357,0.19
0.2427055702917772,0.2
0.25596816976127323,0.21
0.26525198938992045,0.22
0.28116710875331563,0.23
0.3063660477453581,0.24
0.3183023872679045,0.25
0.33156498673740054,0.26
0.34880636604774534,0.27
0.3594164456233422,0.28
0.37002652519893897,0.29
0.3793103448275862,0.3
0.3925729442970822,0.31
0.40185676392572944,0.32
0.40716180371352784,0.33
0.41644562334217505,0.34
0.43103448275862066,0.35
0.4442970822281167,0.36
0.45225464190981435,0.37
0.4588859416445623,0.38
0.46684350132625996,0.39
0.47745358090185674,0.4
0.4920424403183024,0.41
0.5026525198938993,0.42
0.5079575596816976,0.43
0.5106100795755968,0.44
0.5225464190981433,0.45
0.5265251989389921,0.46
0.5371352785145889,0.47
0.5477453580901857,0.48
0.5543766578249337,0.49
0.5596816976127321,0.5
0.5742705570291777,0.51
0.5862068965517241,0.52
0.5928381962864722,0.53
0.6007957559681698,0.54
0.6114058355437666,0.55
0.6246684350132626,0.56
0.629973474801061,0.57
0.6405835543766578,0.58
0.6511936339522546,0.59
0.6551724137931034,0.6
0.6684350132625995,0.61
0.6790450928381963,0.62
0.6803713527851459,0.63
0.6923076923076923,0.64
0.7015915119363395,0.65
0.7108753315649867,0.66
0.7148541114058355,0.67
0.7228116710875332,0.68
0.7320954907161804,0.69
0.7387267904509284,0.7
0.746684350132626,0.71
0.7586206896551724,0.72
0.7679045092838196,0.73
0.7758620689655172,0.74
0.7811671087533156,0.75
0.7904509283819628,0.76
0.7984084880636605,0.77
0.8063660477453581,0.78
0.8156498673740054,0.79
0.8209549071618037,0.8
0.8249336870026526,0.81
0.830238726790451,0.82
0.8408488063660478,0.83
0.8461538461538461,0.84
0.8527851458885941,0.85
0.8647214854111406,0.86
0.876657824933687,0.87
0.883289124668435,0.88
0.8938992042440318,0.89
0.9005305039787799,0.9
0.9137931034482759,0.91
0.9244031830238727,0.92
0.9336870026525199,0.93
0.9416445623342176,0.94
0.946949602122016,0.95
0.9575596816976127,0.96
0.9655172413793104,0.97
0.9761273209549072,0.98
0.9946949602122016,0.99
1.0,1.0
