intercept,daily,monthly,weekly
-0.45680228,0.49681798,0.38837403,0.061879586
-0.4383027,0.5202666,0.3881727,0.036925532
-0.42433396,0.5508452,0.40044412,0.009216455
-0.43845996,0.52818716,0.39747605,0.02914834
-0.46167326,0.5006126,0.40268803,0.059355773
-0.4907249,0.46569428,0.41029063,0.09781046
-0.537813,0.39593583,0.40534225,0.16628152
-0.5776487,0.34138408,0.40735564,0.2230368
-0.615589,0.2885982,0.40948337,0.27683657
-0.65074915,0.24297448,0.41841692,0.32627565
-0.6657258,0.22054307,0.41820136,0.34815118
-0.67367977,0.20733961,0.4162427,0.3588822
-0.69010144,0.1884109,0.4252039,0.3801937
-0.68417823,0.19141665,0.41638827,0.37144572
-0.69086903,0.18454477,0.4192235,0.378719
-0.67832434,0.19577649,0.40759534,0.36170223
-0.6811881,0.19418798,0.40961614,0.3634096
-0.6900655,0.18683615,0.41851997,0.3741025
-0.69621783,0.18063034,0.42543393,0.3819104
-0.6903901,0.1857061,0.41971698,0.37311754
-0.67782557,0.1970968,0.40703025,0.35442534
-0.6836741,0.19253215,0.40988722,0.35872126
-0.679355,0.19790907,0.40714303,0.35159856
-0.68228346,0.19814077,0.41215158,0.3527948
-0.67400753,0.20841905,0.40949893,0.34032807
-0.6515221,0.23144189,0.3961406,0.31057954
-0.65161353,0.23598163,0.3999837,0.30682796
-0.6506649,0.23873429,0.40209493,0.30452138
-0.6464632,0.24579327,0.40351677,0.29787877
-0.6401026,0.2548281,0.40353355,0.28846556
-0.6328481,0.259462,0.39617485,0.2803452
-0.6434856,0.24919489,0.40161142,0.2929322
-0.6527862,0.23869112,0.4063181,0.3059464
-0.6455295,0.24463227,0.3993311,0.29826277
-0.64488494,0.24598214,0.3989571,0.29760373
-0.65552616,0.23292613,0.40191764,0.31205672
-0.6591426,0.2271281,0.40063715,0.31853622
-0.64814913,0.2390964,0.39423496,0.30492502
-0.6443142,0.24504375,0.39390206,0.29895297
-0.64651656,0.24401823,0.39668685,0.30115074
-0.63748133,0.25438204,0.39323515,0.29041022
-0.61116207,0.28572768,0.38653687,0.25694674
-0.6031549,0.30356723,0.39341116,0.24030264
-0.5883483,0.32423437,0.3938051,0.2193038
-0.56311005,0.35621554,0.3904642,0.18595752
-0.542663,0.3852491,0.39121976,0.15709707
-0.5464966,0.38597307,0.3981282,0.15839657
-0.54149854,0.39394137,0.39968023,0.15076514
-0.5405335,0.3966034,0.40171948,0.14891434
-0.5565344,0.3717145,0.39780477,0.17367174
-0.5693785,0.34619355,0.3879243,0.1980071
-0.56372654,0.35260427,0.38542873,0.1923556
-0.5577529,0.3676908,0.39241546,0.1797625
-0.5271457,0.40290794,0.38588947,0.14254756
-0.5024489,0.4405272,0.38970858,0.10566225
-0.48760074,0.46631184,0.39554885,0.080962576
-0.4837222,0.4704008,0.39430183,0.07677571
-0.47646222,0.48598266,0.40056553,0.06398958
-0.49355406,0.46226317,0.4003981,0.08909222
-0.52672076,0.41527915,0.3986568,0.13807407
-0.55998623,0.36944276,0.39926377,0.1872457
-0.597905,0.3133027,0.39450198,0.24452476
-0.62054425,0.2795608,0.39078182,0.27964124
-0.6426935,0.25130624,0.39518818,0.31162986
-0.65464145,0.23362157,0.39431182,0.33049268
-0.6494374,0.23636904,0.3861627,0.32606822
-0.6598772,0.2255086,0.39101055,0.34016198
-0.6602075,0.22347777,0.3883389,0.34201476
-0.6607739,0.22278456,0.38777262,0.34390357
-0.66615266,0.21736875,0.39157215,0.35240352
-0.6668172,0.21424656,0.38819936,0.3551202
-0.6610624,0.21960178,0.38250366,0.34888965
-0.6643373,0.21701984,0.38413286,0.35357776
-0.6560375,0.22655943,0.37982124,0.34316307
-0.6617378,0.22308657,0.38693577,0.3512745
-0.63986516,0.24803989,0.3766849,0.3221456
-0.6048353,0.2916488,0.36944896,0.27485162
-0.587885,0.32383412,0.37842944,0.24505726
-0.5178711,0.40947136,0.3693363,0.15404147
-0.46510285,0.49307433,0.3800765,0.07136864
-0.41731936,0.556111,0.3796743,0.006461856
-0.38766935,0.59917736,0.38263923,-0.03644283
-0.35989383,0.6404573,0.38645843,-0.07745497
-0.34944493,0.6615139,0.39287993,-0.09704502
-0.34376332,0.6701461,0.39388388,-0.105188094
-0.35179573,0.6624521,0.3972887,-0.09589813
-0.39067858,0.60229003,0.38910517,-0.035886176
-0.43669385,0.53703535,0.38550147,0.031383358
-0.47131306,0.49362937,0.39076516,0.079692766
-0.5085939,0.43929988,0.38724065,0.13571613
-0.52434385,0.40885645,0.3763687,0.16419137
-0.5496975,0.37822437,0.38082796,0.1983341
-0.56956536,0.3494156,0.3795577,0.22811441
-0.5616578,0.3542927,0.37250802,0.22101708
-0.5577972,0.36364877,0.37660903,0.21330889
-0.5460789,0.37497354,0.37207645,0.19964038
-0.5434185,0.38580567,0.37997317,0.19199184
-0.53582466,0.3973215,0.38197154,0.18065314
