Date,rv5_AEX,rv5_BFX,rv5_FCHI,rv5_GDAXI,rv5_IBEX,rv5_IXIC,rv5_MXX,rv5_RUT,rv5_SPX,rv5_STOXX50E,rv5_AORD,rv5_FTSE,rv5_SSMI,return_AEX,return_BFX,return_FCHI,return_GDAXI,return_IBEX,return_IXIC,return_MXX,return_SPX,return_STOXX50E,return_AORD,return_FTSE,return_SSMI,returnsq_AEX,returnsq_BFX,returnsq_FCHI,returnsq_GDAXI,returnsq_IBEX,returnsq_IXIC,returnsq_MXX,returnsq_SPX,returnsq_STOXX50E,returnsq_AORD,returnsq_FTSE,returnsq_SSMI
2000-01-05T00:00:00Z,4.9096610335507e-4,3.466723907048e-4,2.9965698382884e-4,0.00116387890652495,2.913586687231e-4,6.9451563710702e-4,2.906674999759e-4,5.972825439024315e-5,3.1428221486957e-4,4.6441031804499e-4,2.7802247678944e-4,1.9152938733558e-4,1.5683059952239e-4,-0.015597855772927716,-0.03682110539979888,-0.034494960380857975,-0.014748246867620551,-0.031131165485287937,-0.006856940535262979,0.013204778129875194,0.0021919890537906994,-0.025574673319937347,-0.022900898785184864,-0.01967902442843439,-0.012014484215741916,2.4329310471305447e-4,0.0013557938028630984,0.0011899022916769613,2.175107856682794e-4,9.69149464472383e-4,4.701763350413254e-5,1.7436616545923024e-4,4.8048160119382456e-6,6.540639154215152e-4,5.244511651692816e-4,3.872640024549174e-4,1.4434783097031165e-4
2000-01-07T00:00:00Z,1.3841458457167e-4,1.371744197177e-4,2.108027064626e-4,3.6853399830544e-4,2.0402437908704e-4,2.9685655662737e-4,9.565937270764272e-5,1.6802239818612752e-5,9.362177104368208e-5,1.2197019539341e-4,3.5521454261606596e-5,1.1403430298988e-4,8.268971371629769e-5,0.03254638875792004,0.024989848138664783,0.016288309211578422,0.046590242740956356,0.021789576193746996,0.040555868491853886,0.04282784619820568,0.026570711140089465,0.032627624569711244,0.004149656857011408,0.0088631434238291,0.022732263579896994,0.001059267421181664,6.244925099935277e-4,2.6530901697199047e-4,0.0021706507186612365,4.747856307031058e-4,0.0016447784691285467,0.0018342244099771605,7.060026904900744e-4,0.0010645618850620249,1.7219652030941794e-5,7.855531135136503e-5,5.167558074659113e-4
2000-01-10T00:00:00Z,1.0923245079924e-4,1.0172546581595e-4,1.577611286315e-4,4.576584868112e-4,2.2136177383694e-4,1.5166103879322e-4,1.8161406933998e-4,1.4419462514315e-4,1.2021272840994e-4,1.9511705611436e-4,1.2399176609612e-4,1.2327860031678e-4,4.408667395232529e-5,0.015815714281509408,0.02056108887028074,0.01904448242127188,0.02040690533934786,0.006365702484618652,0.04239167918213127,0.03986539778483511,0.011043429646789171,0.013299522731406554,0.020526052018929875,0.015800719163703292,6.442607331180739e-4,2.501368182343406e-4,4.227583755315826e-4,3.6269231069413363e-4,4.1644178552910415e-4,4.052216812268007e-5,0.0017970544638807417,0.001589249940543136,1.21957338363582e-4,1.7687730488319967e-4,4.2131881148381516e-4,2.4966272609022044e-4,4.15071892237838e-7
2000-01-11T00:00:00Z,1.2733622654962e-4,1.0652731204989e-4,1.9375163426512e-4,2.4161124938633e-4,1.852597303152e-4,2.5242523789207e-4,1.4407803596364e-4,2.7906862045603425e-5,6.80992035840115e-5,1.3290827011633e-4,3.6774174172419e-4,8.619325351650077e-5,6.769094323293937e-5,-0.009508690746655724,-0.017268813194544208,-0.005722918420842049,-0.002696979399152255,-0.014505093016936144,-0.0319510865925583,-0.02632910779701625,-0.012786988127786003,-0.007946491691567914,0.017901781580782483,-0.01357414524678191,-0.004397266530460797,9.041519971553618e-5,2.982119091480641e-4,3.275179525161325e-5,7.273697879451658e-6,2.1039772342996968e-4,0.0010208719344451586,6.932219173869018e-4,1.635070653801402e-4,6.314673020415789e-5,3.20473783766043e-4,1.8425741918073194e-4,1.9335952939910738e-5
2000-01-12T00:00:00Z,0.00016634381646971001,1.6467893299645e-4,1.889107910005e-4,3.3718011979852e-4,1.5122924553906e-4,4.9536672564168e-4,7.589696576026093e-5,2.19517314919855e-5,1.2300234900808e-4,1.8294822416872e-4,2.9554552509293e-4,7.214666444138906e-5,5.965226767205046e-5,-0.016375216371774748,-0.012350076689136458,-0.005608960437539778,7.2441248342158815e-6,-0.014690945786504983,-0.01842696488380824,0.004326262594688046,-0.004417633093645179,-0.006093040409773209,-0.018481510412762248,0.0018695604317624515,0.0027051960266994968,2.681477112224397e-4,1.5252439422755172e-4,3.146043718988642e-5,5.2477344613703276e-11,2.1582388810202852e-4,3.39553034829102e-4,1.8716548038196945e-5,1.9515482150069075e-5,3.712514143512928e-5,3.415662271370394e-4,3.495256208011804e-6,7.3180855428707445e-6
2000-01-13T00:00:00Z,1.5423577882924e-4,6.651784909320279e-5,1.6109103128274e-4,2.167224159103e-4,2.9110886685877e-4,2.3990378836939e-4,9.5354115386067e-4,1.5676083390729547e-5,1.0132768270706e-4,1.4646899094615e-4,3.4913723907004845e-5,8.9882989283975e-5,3.883904922124437e-5,0.005950306871641331,0.007473012101115728,0.00904806034415273,0.010021808186323256,0.007354155722650191,0.02743632070411728,0.013922507597916578,0.012408811966956534,0.00935383974912618,-0.0019994201894508734,-1.22487100730595e-4,-4.4363485546483616e-4,3.540615186670204e-5,5.5845909863422104e-5,8.186739599142923e-5,1.0043663932345581e-4,5.408360639298855e-5,7.527516937791745e-4,1.9383621781404484e-4,1.539786144312837e-4,8.749431805233292e-5,3.997681093983767e-6,1.5003089845386925e-8,1.9681188498330607e-7
2000-01-14T00:00:00Z,9.703299622902372e-5,1.5740834176263e-4,1.5748500072203e-4,3.1739392090295e-4,2.2363008683196e-4,1.4672607407704e-4,9.90226162048698e-5,9.849685117522635e-6,1.3930043089079e-4,1.4678232507459e-4,5.26086659390824e-5,1.4188341124919e-4,4.322298008864379e-5,0.020635493862434018,-0.0016224644572968572,0.02700528711165795,0.03188858466712041,0.02279906492447914,0.026607659895201863,0.014575689417053894,0.009602885310326492,0.030651874626768105,0.00714081968986946,0.01928939935300278,0.010300543223742409,4.25823606946552e-4,2.6323909151915855e-6,7.29285531983079e-4,0.001016881832072107,5.19797361430615e-4,7.079675650987336e-4,2.124507219824169e-4,9.221540628328433e-5,9.395374181351104e-4,5.0991305843227365e-5,3.72080927399624e-4,1.0610119070418566e-4
2000-01-18T00:00:00Z,1.1711485696222e-4,3.9041698976357e-4,2.6177594703851e-4,3.795015255966e-4,1.6628405336905e-4,9.435160545227462e-5,1.1105241175991e-4,1.1056877948363796e-5,9.273167237390965e-5,1.7468238324309e-4,2.4301734019197715e-5,1.4695794971931e-4,4.814295028912018e-5,-0.02106659639345132,-0.03376942536497918,-0.029497446345539302,-0.025172867796744214,-0.019623122602837384,0.016638579949889376,-0.01946958755011252,-0.005789134680576957,-0.02529315093369533,0.003274261845986004,-0.024869576932518456,-0.013707480013698259,4.4380148360457616e-4,0.001140374089480899,8.7009934090797e-4,6.336732731123619e-4,3.8506694068598743e-4,2.768423427488608e-4,3.790648393714965e-4,3.351408034985887e-5,6.397434841546929e-4,1.0720790636079675e-5,6.184958568024541e-4,1.8789500832593723e-4
2000-01-19T00:00:00Z,1.6461042370468e-4,1.0333110416583e-4,1.8819286884323e-4,3.0753595070717e-4,1.8270999016356e-4,1.5056659934143e-4,5.289740491532469e-5,1.350557819422858e-5,4.913393635533539e-5,1.584098029442e-4,5.1553701314901774e-5,1.1602899245157e-4,4.446585938817108e-5,-0.007951619424865441,0.0018253240983536756,-0.004149299257251826,0.0020573164996413595,0.004903782306159954,0.004686608788942337,-0.0182847882954551,2.061062416265358e-4,0.001059154390528505,-0.014577797239025969,-0.009173667830999932,-0.009225658314568008,6.322825147789741e-5,3.331808064030659e-6,1.7216684326230556e-5,4.232551179696576e-6,2.4047080906207436e-5,2.1964301940591557e-5,3.343334830096119e-4,4.247978283741596e-8,1.121808022975809e-6,2.1251217234215318e-4,8.4156181473523e-5,8.511277133715782e-5
2000-01-20T00:00:00Z,1.48521715008e-4,1.5143330004319e-4,1.2826570618695e-4,2.92298323326e-4,1.8933418391606e-4,1.5682552386862e-4,1.6723357782819e-4,2.7533462722232295e-5,1.2966002905466e-4,1.2493420991408e-4,3.965400974122203e-5,1.1288357508782e-4,5.907925412057232e-5,0.0034177976068887617,-0.0020036650901671393,0.010613523111087986,0.0011628579456264276,-0.0065950266780081535,0.008987983883743667,-0.01892090434767546,-0.007412114591828889,0.0010014939437947845,0.010315975382225062,-0.015132381924455984,-0.011735807851103175,1.1681340481654546e-5,4.014673793554491e-6,1.1264687282959879e-4,1.3522386017065158e-6,4.349437688363926e-5,8.078385429443588e-5,3.580006213338841e-4,5.4939442722402735e-5,1.002990119457631e-6,1.0641934808667351e-4,2.289889827076022e-4,1.3772918591801493e-4
